ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize,
1,50, True,20,2,0.766507, Any,0.3050319, Any,9,
2,50, True,20,2,0.766507, Any,0.3050319, Any,9,
3,50, True,20,5,0.1370008, Any,0.1894136, Any,13,
4,50, True,20,7,0.7548064, Any,0.3674807, Any,11,
5,50, True,20,2,0.766507, Any,0.3050319, Any,9,
6,50, True,20,1,0.4390083, Any,0.9159955, Any,7,
7,50, True,20,2,0.1545686, Any,0.3226052, Any,1,
8,50, True,20,2,0.766507, Any,0.3050319, Any,9,
9,50, True,20,2,0.766507, Any,0.3050319, Any,9,
10,50, True,20,4,0.1265354, Any,0.5525143, Any,15,
11,50, True,20,2,0.766507, Any,0.3050319, Any,9,
12,50, True,20,6,0.1888497, Any,0.8985718, Any,16,
13,50, True,20,4,0.1004861, Any,0.5868719, Any,9,
14,50, True,20,2,0.766507, Any,0.3050319, Any,9,
15,50, True,20,2,0.8854096, Any,0.6246982, Any,10,
16,50, True,20,2,0.09109343, Any,0.9285476, Any,19,
17,50, True,20,2,0.766507, Any,0.3050319, Any,9,
18,50, True,20,3,0.3957254, Any,0.2596069, Any,19,
19,50, True,20,1,0.4240015, Any,0.8684151, Any,2,
20,50, True,20,2,0.766507, Any,0.3050319, Any,9,
21,50, True,20,2,0.766507, Any,0.3050319, Any,9,
22,50, True,20,6,0.2931788, Any,0.4771646, Any,14,
23,50, True,20,8,0.1374586, Any,0.4809716, Any,19,
24,50, True,20,4,0.5018342, Any,0.2818003, Any,8,
25,50, True,20,2,0.2091086, Any,0.6434296, Any,3,
26,50, True,20,4,0.5018342, Any,0.2818003, Any,8,
27,50, True,20,4,0.5018342, Any,0.2818003, Any,8,
28,50, True,20,3,0.01616645, Any,0.09807421, Any,8,
29,50, True,20,9,0.1216116, Any,0.6523895, Any,14,
30,50, True,20,2,0.2340316, Any,0.03767074, Any,12,
31,50, True,20,4,0.5018342, Any,0.2818003, Any,8,
32,50, True,20,4,0.5018342, Any,0.2818003, Any,8,
33,50, True,20,6,0.8257333, Any,0.1671028, Any,5,
34,50, True,20,4,0.7490829, Any,0.3590999, Any,8, 
35,50, True,20,4,0.7490829, Any,0.3590999, Any,8, 
36,50, True,20,4,0.7490829, Any,0.3590999, Any,8, 
37,50, True,20,5,0.8944272, Any,0.4921034, Any,3, 
38,50, True,20,5,0.9907424, Any,0.01741087, Any,4, 
39,50, True,20,2,0.8474841, Any,0.1750617, Any,9, 
40,50, True,20,8,0.7977468, Any,0.3040749, Any,1, 
41,50, True,20,6,0.5863351, Any,0.1614757, Any,3, 
42,50, True,20,3,0.7556353, Any,0.4770094, Any,9, 
43,50, True,20,2,0.8194969, Any,0.2200247, Any,8, 
44,50, True,20,8,0.7532468, Any,0.2467027, Any,7, 
45,50, True,20,9,0.7543024, Any,0.28693, Any,9, 
46,50, True,20,3,0.7512153, Any,0.2909829, Any,9, 
47,50, True,20,1,0.8386019, Any,0.1534822, Any,5, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, 
