ATTEMPT, Time, Performance
31, 15.4283, 10.58088
31, 20.42705, 10.64104
31, 25.42939, 10.50231
31, 30.4318, 10.74889
31, 35.43351, 10.98191
31, 40.43358, 11.30812
31, 45.43432, 11.40515
31, 50.43726, 11.38207
31, 55.43478, 12.19682
31, 60.4349, 12.83406
31, 65.44176, 13.38586
31, 70.44298, 12.39061
31, 75.44205, 11.9899
31, 80.44476, 12.30863
31, 85.44553, 12.29726
31, 90.44674, 12.15508
31, 95.44943, 10.4407
31, 100.4504, 11.56607
31, 105.4521, 12.6031
31, 110.4536, 12.47719
31, 115.4557, 12.82938
31, 120.4595, 13.46876
31, 125.4612, 14.47055
31, 130.4627, 14.67724
31, 135.4653, 13.98635
31, 140.4684, 14.4756
31, 145.4692, 14.76452
31, 150.4705, 13.75115
31, 155.4711, 13.8311
31, 160.4729, 14.54475
31, 165.4765, 16.14151
31, 170.4741, 17.00993
31, 175.4768, 17.46964
31, 180.4804, 18.1468
31, 185.4838, 19.2873
31, 190.485, 20.10348
31, 195.4861, 20.14879
31, 200.4887, 21.08978
31, 205.4906, 22.84959
31, 210.4936, 23.30079
31, 215.4953, 23.87045
31, 220.4956, 18.86349
31, 225.4999, 18.96462
31, 230.5102, 19.64035
31, 235.5077, 16.31425
31, 240.5114, 16.81581
31, 245.5114, 17.78558
31, 250.5123, 18.19502
31, 255.5147, 19.42349
31, 260.5161, 19.48373
31, 265.5209, 14.73255
31, 270.5216, 11.34744
31, 275.5236, 11.6189
31, 280.5241, 11.44483
31, 285.5247, 10.90588
31, 290.5268, 11.67033
