ATTEMPT, Time, Performance
1, 19.73672, 9.975399
1, 29.7445, 10.08553
1, 39.74492, 10.08553
1, 49.74593, 10.08553
1, 59.74622, 10.08553
1, 69.74624, 10.08553
1, 79.76968, 10.08553
1, 89.76104, 10.08553
1, 99.76396, 10.08553
1, 109.767, 10.08553
1, 119.7678, 10.08553
1, 129.7758, 16.63453
1, 139.7827, 16.63453
1, 149.7852, 16.63453
1, 159.7917, 16.63453
1, 169.805, 16.63453
1, 179.8052, 26.86354
1, 189.8072, 26.86354
1, 199.8176, 26.86354
1, 209.8203, 27.08422
1, 219.8202, 27.08422
1, 229.8371, 27.08422
1, 239.842, 27.08422
1, 249.8429, 27.08422
1, 259.8569, 29.65747
1, 269.8597, 29.65747
1, 279.866, 29.65747
1, 290.6533, 29.65747
ATTEMPT, Time, Performance
2, 19.7158, 11.00051
2, 29.71142, 11.00051
2, 39.72206, 11.05718
2, 49.71959, 11.05718
2, 59.72218, 11.05718
2, 69.72588, 11.05718
2, 79.72766, 11.05718
2, 89.73738, 11.05718
2, 99.74086, 11.05718
2, 109.747, 11.05718
2, 119.7543, 19.56617
2, 129.7573, 19.56617
2, 139.7614, 19.56617
2, 149.7634, 19.56617
2, 159.7668, 19.56617
2, 169.7674, 19.56617
2, 179.7674, 19.56617
2, 189.7744, 19.56617
2, 200.1283, 19.56617
2, 210.3107, 20.16494
2, 220.4205, 95.62555
2, 230.5591, 95.70501
2, 240.6064, 96.11105
2, 250.8633, 96.11105
2, 261.1001, 96.11105
2, 271.103, 236.3061
2, 281.1037, 236.3061
2, 291.1074, 236.3061
ATTEMPT, Time, Performance
3, 19.70873, 10.6203
3, 29.69772, 10.6203
3, 39.70173, 10.6203
3, 49.70364, 10.6203
3, 59.70601, 10.6203
3, 69.71156, 10.6203
3, 79.71646, 10.6203
3, 89.72078, 10.6203
3, 99.72092, 10.6203
3, 109.9418, 10.6203
3, 120.0109, 10.6203
3, 130.0006, 10.6203
3, 140.0048, 10.6203
3, 150.003, 10.6203
3, 160.0034, 10.6203
3, 170.0923, 10.6203
3, 180.0975, 10.6203
3, 190.2189, 10.6203
3, 200.3065, 10.6203
3, 210.3642, 10.6203
3, 220.4265, 10.6203
3, 230.6198, 10.6203
3, 240.6368, 10.6203
3, 250.639, 10.6203
3, 260.6443, 10.6203
3, 270.6447, 10.6203
3, 280.6484, 10.6203
3, 290.6485, 10.6203
