ATTEMPT, Time, Performance
1,19.73074,23.53255
1,29.72565,22.91927
1,39.73909,22.44845
1,49.7394,22.34346
1,59.74061,22.37484
1,69.75669,23.75522
1,79.75927,23.56236
1,89.76092,23.43891
1,99.76305,23.30814
1,109.7658,21.60512
1,119.7794,22.71471
1,129.7788,22.62506
1,139.7826,22.13349
1,149.7838,21.33474
1,159.7858,20.93523
1,169.7985,22.70906
1,179.8,22.42125
1,189.8067,22.20294
1,199.816,22.13548
1,209.8201,22.13548
1,219.8204,20.91183
1,229.8227,22.21623
1,239.8258,21.53938
1,249.8263,21.44271
1,259.8359,21.36974
1,269.8412,21.4194
1,279.8381,22.87284
1,289.8414,22.68223
1,299.8418,22.68223
1,309.8444,22.33981
1,319.8568,22.16789
1,329.8552,22.77443
1,339.8554,21.90553
1,349.8576,21.84252
1,359.8592,21.5211
1,369.862,21.44095
1,379.8622,20.39885
1,389.8647,20.95285
1,399.8651,20.95285
1,409.8662,20.89967
1,419.8668,20.62081
1,429.867,20.11797
1,439.8764,21.86864
1,449.8767,22.04073
1,459.8786,21.41438
1,469.8788,21.38075
1,479.8823,21.35198
1,489.8847,23.73304
1,499.8859,23.75256
1,509.887,23.2811
1,519.8871,22.50659
1,529.8964,22.24182
1,539.8972,20.88057
1,549.8994,21.85476
1,559.9013,21.11696
1,569.9024,21.71865
1,579.904,21.49668
1,589.9064,21.2243
1,599.9073,22.99034
2,19.72429,23.23482
2,29.7173,22.94098
2,39.71913,22.45152
2,49.72036,22.35089
2,59.72075,20.76405
2,69.72307,22.86427
2,79.73462,22.43944
2,89.73674,22.43944
2,99.73756,22.39827
2,109.7376,22.2927
2,119.7386,24.63708
2,129.7414,24.34729
2,139.7415,24.14447
2,149.7424,24.14447
2,159.7434,23.40177
2,169.7537,22.57056
2,179.7541,23.68275
2,189.7556,23.62928
2,199.7595,23.62928
2,209.7677,23.50676
2,219.7637,23.2556
2,229.7641,23.48713
2,239.7735,23.34307
2,249.779,23.34245
2,259.7756,23.2426
2,269.7758,22.48815
2,279.78,24.68294
2,289.7833,24.2095
2,299.7856,23.67085
2,309.7966,23.50279
2,319.7977,22.90226
2,329.8011,23.85373
2,339.8049,23.92043
2,349.8056,23.52538
2,359.8127,23.18932
2,369.8148,23.18932
2,379.8157,23.42206
2,389.8193,24.17214
2,399.82,24.17214
2,409.825,24.19478
2,419.8235,23.91296
2,429.8337,23.16089
2,439.8403,23.14011
2,449.84,22.4608
2,459.8411,22.47626
2,469.8413,22.39466
2,479.843,22.18308
2,489.8478,24.82273
2,499.8455,24.77949
2,509.8564,24.81638
2,519.8623,24.81638
2,529.8635,24.49817
2,539.8636,22.59437
2,549.8738,23.94361
2,559.8778,23.85918
2,569.8793,23.8322
2,579.8797,23.77388
2,589.8815,24.64859
2,599.884,25.19913
3,19.73262,23.40767
3,29.72819,23.14478
3,39.73074,22.87452
3,49.7322,22.58698
3,80.58758,29.95112
3,90.59386,30.77592
3,100.5963,28.85875
3,110.5989,28.4249
3,120.6021,28.39931
3,130.605,20.5955
3,140.6049,22.73263
3,150.6076,23.21965
3,160.6079,23.19087
3,170.6164,23.08545
3,180.6234,23.08545
3,190.6251,23.94374
3,200.6345,23.81816
3,210.6361,23.76207
3,220.6372,23.3634
3,230.6409,23.17478
3,240.6451,18.85002
3,250.6457,21.87301
3,260.6461,21.92111
3,270.6477,21.75967
3,280.6565,21.62954
3,290.6586,21.14671
3,300.6601,21.98676
3,310.6633,22.85174
3,320.6639,22.5321
3,330.6649,22.01159
3,340.6674,21.71447
3,350.6786,22.90222
3,360.6801,23.84034
3,370.681,23.08075
3,380.6826,22.72333
3,390.6889,22.26318
3,400.696,21.51762
3,410.6973,22.78354
3,420.7007,22.48794
3,430.7036,22.04086
3,440.7052,21.97647
3,450.7063,20.98444
3,460.7067,22.73544
3,470.7194,22.96682
3,480.7299,22.75509
3,490.7268,22.62927
3,500.7276,22.36122
3,510.7427,23.04857
3,520.7364,23.18461
3,530.7377,23.18461
3,540.7383,23.13351
3,550.7524,22.65513
3,560.7562,22.14332
3,570.7582,22.71186
3,580.7599,22.30042
3,590.7604,22.40234
3,600.764,22.17051
