ATTEMPT, Time, Performance
1,19.72687,23.48065
1,29.72253,22.02441
1,39.72419,25.02354
1,49.72872,25.29043
1,59.72842,34.53112
1,69.73067,34.8017
1,79.73402,36.86093
1,89.73556,37.12017
1,99.73586,38.90642
1,109.7392,41.30371
1,119.741,42.50177
1,129.7427,44.39452
1,139.7426,44.82018
1,149.745,45.70251
1,159.748,45.93483
1,169.7487,45.75423
1,179.7514,46.48433
1,189.7545,47.76434
1,199.7547,48.3447
1,209.7577,48.89544
1,219.7583,49.0332
1,229.7589,49.80401
1,239.7607,50.32747
1,249.7616,50.48576
1,259.7617,50.52227
1,269.7645,53.43184
1,279.766,53.47071
1,289.7664,56.53794
1,299.7689,56.55729
1,309.7719,56.62057
1,319.7719,56.92821
1,329.7744,54.09882
1,339.7746,54.02505
1,349.7756,54.09087
1,359.7769,57.38989
1,369.7777,57.42459
1,379.7785,60.14501
1,389.7817,56.88341
1,399.7848,55.87389
1,409.7859,53.01346
1,419.7871,53.2528
1,429.7902,53.20901
1,439.7937,53.45245
1,449.7946,53.557
1,459.7964,53.81709
1,469.7967,53.85173
1,479.7971,53.64171
1,489.7992,56.19793
1,499.8003,56.23077
1,509.8059,56.12287
1,519.806,55.8834
1,529.8076,56.16444
1,539.809,54.13665
1,549.8109,55.30415
1,559.8142,54.22031
1,569.8168,56.4886
1,579.8177,54.22681
1,589.8193,54.28811
1,599.8203,54.36166
1,609.8214,54.8209
1,619.8228,57.80479
1,629.8235,54.48447
1,639.8246,54.41089
1,649.8265,56.13574
1,659.8282,56.60503
1,669.8291,56.59491
1,679.8314,57.69935
1,689.8351,57.00838
1,699.8362,57.88378
1,709.8369,60.63153
1,719.8378,60.71953
1,729.8405,59.80472
1,739.8425,59.70856
1,749.8433,59.63669
1,759.8455,54.24389
1,769.8458,54.11589
1,779.8467,54.25081
1,789.8495,54.21527
1,799.8511,55.50706
1,809.8533,54.2033
1,819.8569,54.50984
1,829.8572,55.35896
1,839.858,57.44689
1,849.8594,58.17979
1,859.8605,59.9204
1,869.8616,59.88838
1,879.8646,60.96325
1,889.8666,62.35925
1,899.8682,62.2772
1,909.8691,58.35928
1,919.8697,57.22582
1,929.8702,54.3978
1,939.8717,53.76488
1,949.8737,50.54786
1,959.8761,51.10191
1,969.8769,51.28228
1,979.879,50.98286
1,989.8813,51.29303
1,999.8834,50.8384
1,1009.884,51.04258
1,1019.886,52.92675
1,1029.886,53.05018
1,1039.888,53.1499
1,1049.889,53.244
1,1059.893,53.13126
1,1069.895,53.40781
1,1079.896,53.57996
1,1089.896,54.67201
1,1099.902,61.59773
1,1109.904,61.78414
1,1119.906,62.25259
1,1129.907,62.01827
1,1139.908,71.53543
1,1149.91,70.64474
1,1159.911,70.68826
1,1169.913,70.68826
1,1179.914,70.66273
1,1189.915,70.61967
1,1199.916,70.41986
ATTEMPT, Time, Performance
2,19.72651,22.3328
2,29.71935,21.99144
2,39.72266,21.61063
2,49.74648,20.65787
2,59.73185,20.12607
2,69.73394,23.15223
2,79.73612,22.86128
2,89.73849,22.69845
2,99.7392,22.69988
2,112.4746,25.24962
2,126.3813,35.50162
2,136.3837,34.43792
2,146.3841,32.8488
2,156.3842,32.21447
2,166.3874,31.46989
2,176.3888,28.05842
2,186.3916,28.80955
2,196.398,28.80955
2,206.3997,28.80955
2,216.4008,28.80955
2,228.2764,31.80814
2,238.2779,32.84462
2,248.2795,32.84462
2,258.2818,32.84462
2,268.2836,33.0834
2,278.287,33.41617
2,288.2897,36.55493
2,298.2902,37.19037
2,308.2909,37.28163
2,318.2923,37.3424
2,328.2943,37.7954
2,338.2977,38.12245
2,348.2993,38.74106
2,358.3024,39.40261
2,368.3026,39.4937
2,378.3033,39.73105
2,388.3055,40.11264
2,398.3059,52.55987
2,408.3063,56.63609
2,418.3073,58.98487
2,428.31,63.95604
2,438.3117,65.88319
2,448.3119,66.65368
2,458.3152,66.65368
2,468.318,66.65368
2,478.3193,66.65368
2,488.3246,66.65368
2,498.3266,66.68023
2,508.3273,93.29066
2,518.3304,137.5995
2,528.3323,137.5995
2,538.3326,137.5995
2,548.335,138.8292
2,558.3365,163.6981
2,568.3381,165.5659
2,578.3394,164.8648
2,588.3412,167.6088
2,598.3432,170.8172
2,608.3442,170.8172
2,618.3463,173.2745
2,628.3535,174.4014
2,638.3511,174.7345
2,648.3531,174.7345
2,658.3542,174.7345
2,668.3562,174.7345
2,678.3573,174.7345
2,688.3588,174.7345
2,698.3594,173.5205
2,708.3606,173.5622
2,718.3613,177.1584
2,728.3632,175.397
2,738.3641,175.397
2,748.3663,175.397
2,758.3687,175.397
2,768.3694,176.2848
2,778.3716,176.2848
2,788.3748,176.2848
2,798.3753,176.2848
2,808.3759,585.0676
2,818.3759,585.0676
2,828.3778,585.0676
2,838.3782,585.0676
2,848.3817,585.0676
2,858.3826,585.0676
2,868.3835,585.0676
2,878.3887,585.0676
2,888.3885,585.0676
2,898.3886,585.0676
2,908.3912,585.0676
2,918.3947,585.0676
2,928.3969,585.0676
2,938.3995,585.0676
2,948.4015,585.0676
2,958.4039,585.0676
2,968.4047,585.0676
2,978.4064,585.0676
2,988.41,585.0676
2,998.4117,585.0676
2,1008.412,585.0676
2,1018.414,585.0676
2,1028.414,585.0676
2,1038.416,585.0676
2,1048.417,585.0676
2,1058.419,585.0676
2,1068.421,585.0676
2,1078.423,585.0676
2,1088.426,585.0676
2,1098.426,585.0676
2,1108.428,585.0676
2,1118.429,585.0676
2,1128.432,585.0676
2,1138.432,585.0676
2,1148.433,585.0676
2,1158.435,585.0676
2,1168.437,585.0676
2,1178.439,585.0676
2,1188.439,585.0676
2,1198.439,585.0676
