ATTEMPT, Time, Performance
1, 19.70987, 11.00979
1, 29.70098, 11.00979
1, 39.70427, 11.00979
1, 49.70744, 11.00979
1, 59.70776, 11.00979
1, 69.72031, 11.00979
1, 79.72149, 11.00979
1, 89.72161, 11.00979
1, 99.72437, 11.00979
1, 109.7265, 11.00979
1, 119.7383, 11.00979
1, 129.7366, 11.00979
1, 139.7379, 11.00979
1, 149.7414, 11.00979
1, 159.7426, 11.00979
1, 169.7463, 11.00979
1, 179.7471, 11.28264
1, 189.7549, 11.28264
1, 199.7554, 45.05258
1, 209.7562, 45.05258
1, 219.7563, 45.05258
1, 229.7591, 45.05258
1, 239.7593, 45.05258
1, 249.7644, 45.05258
1, 259.7664, 45.05258
1, 269.7668, 363.0286
1, 279.7675, 363.2297
1, 289.7679, 363.2297
1, 299.7777, 363.349
ATTEMPT, Time, Performance
2, 19.7273, 6.87483
2, 29.72185, 6.48731
2, 39.72242, 5.962238
2, 49.73853, 5.230039
2, 59.73476, 4.748259
2, 69.73688, 4.525779
2, 79.73991, 4.288205
2, 89.74353, 4.129082
2, 99.75563, 3.903731
2, 109.7602, 3.770856
2, 119.761, 3.605502
2, 129.7611, 3.364626
2, 139.7612, 3.071334
2, 149.7643, 2.760653
2, 159.7808, 2.559121
2, 169.7883, 2.362019
2, 179.7994, 2.148111
2, 189.8025, 2.090564
2, 201.1476, 1.899004
2, 213.3204, 1.787943
2, 224.5411, 1.705982
2, 236.8073, 1.6157
2, 248.0292, 1.771874
2, 258.0401, 11.30896
2, 268.0409, 11.22052
2, 278.0412, 11.16244
2, 288.0453, 11.13316
2, 298.0488, 10.14496
ATTEMPT, Time, Performance
3, 19.72496, 6.841967
3, 29.72173, 6.2762
3, 39.7387, 5.918276
3, 49.74147, 5.547084
3, 59.75659, 5.058203
3, 69.7694, 4.860019
3, 79.77512, 4.594819
3, 89.78151, 4.225855
3, 99.79615, 3.853066
3, 109.8079, 3.645581
3, 120.8673, 3.406422
3, 133.4017, 3.10583
3, 145.897, 2.839933
3, 156.8607, 2.465249
3, 169.4162, 2.253029
3, 182.177, 2.136829
3, 192.554, 2.063816
3, 202.566, 2.375172
3, 212.575, 2.180463
3, 222.588, 2.060264
3, 232.6051, 1.966619
3, 242.6062, 1.853566
3, 252.6292, 1.855342
3, 262.6331, 1.764772
3, 272.6313, 1.718516
3, 282.6443, 1.65192
3, 292.6459, 1.599791
