ATTEMPT, Time, Performance
2,19.70856,23.73525
2,29.70826,22.71417
2,39.72747,22.71417
2,49.7313,22.56626
2,59.72624,22.27803
2,69.73177,23.93956
2,79.73315,23.93956
2,89.7409,23.93956
2,99.74424,23.93956
2,109.7464,25.04673
2,119.7494,30.02478
2,129.7504,30.02478
2,139.752,30.22795
2,149.7528,30.22795
2,159.7558,30.35662
2,169.7549,32.91648
2,179.7584,33.9981
2,189.7601,34.14164
2,199.7619,34.14164
2,209.764,34.06615
2,219.7693,34.61152
2,229.771,36.01054
2,239.772,36.14626
2,249.7765,36.14626
2,259.7805,36.47434
2,269.7822,37.15445
2,279.7825,37.72629
2,289.7853,37.96372
2,299.7868,38.77612
2,309.7899,39.32914
2,319.7931,42.73101
2,329.7947,59.50258
2,339.7982,60.29001
2,349.8003,62.09692
2,359.801,66.56639
2,369.8011,69.04025
2,379.8025,70.56618
2,389.8046,72.27552
2,399.8061,72.73705
2,409.8083,75.08276
2,419.8106,81.49471
2,429.8134,81.09417
2,439.8147,205.3478
2,449.8181,207.345
2,459.8199,207.8648
2,469.8205,210.1163
2,479.8235,211.0849
2,489.8239,212.0884
2,499.8242,212.7984
2,509.8268,213.1797
2,519.8268,213.5679
2,529.8288,215.6102
2,539.8311,215.0287
2,549.8329,213.5144
2,559.8339,214.8789
2,569.8368,214.0607
2,579.8379,214.2442
2,589.8386,214.3183
2,599.839,237.1908
2,609.8399,235.9453
2,619.8405,235.9453
2,629.842,235.3728
2,639.8442,235.3728
2,649.8454,236.1939
2,659.847,235.6553
2,669.8495,235.6553
2,679.8504,1066.541
2,689.8516,1067.287
2,699.853,1068.086
2,709.8534,1068.086
2,719.857,1068.496
2,729.8576,1068.496
2,739.8609,1068.496
2,749.8639,1067.301
2,759.8648,1067.301
2,769.865,1067.301
2,779.8663,1067.301
2,789.8677,1067.301
2,799.8726,1067.301
2,809.8708,1067.301
2,819.8712,1067.301
2,829.8729,1067.301
2,839.8766,1067.301
2,849.8774,1068.792
2,859.8806,1068.792
2,869.882,1068.792
2,879.8846,1068.792
2,889.8847,1068.792
2,899.8865,1068.792
ATTEMPT, Time, Performance
2,20.48414,23.01569
2,30.48452,22.77523
2,40.48994,22.08391
2,50.4866,21.99321
2,60.49411,22.04324
2,70.49625,25.2839
2,80.49799,25.41394
2,90.49928,25.41394
2,100.5008,25.41394
2,110.5033,25.84954
2,120.5061,32.244
2,130.5153,32.34273
2,140.5158,32.34273
2,150.5161,32.34273
2,160.518,32.34273
2,170.5188,34.66425
2,180.5189,36.64155
2,190.5195,37.17674
2,200.5205,37.30268
2,210.5235,37.78606
2,220.5257,40.68373
2,230.5291,41.34937
2,240.531,41.60549
2,250.5315,41.60549
2,260.5347,41.95541
2,270.5372,42.00502
2,280.5375,42.58619
2,290.539,84.35616
2,300.5396,88.21455
2,310.5428,89.2075
2,320.5438,91.92719
2,330.5458,92.10812
2,340.5503,95.53534
2,350.5513,99.1093
2,360.5557,127.1751
2,370.5567,125.8056
2,380.5586,127.5212
2,390.5592,132.2882
2,400.5638,133.1918
2,410.5623,133.0867
2,420.564,132.8955
2,430.5667,129.9434
2,440.5706,131.6763
2,450.5715,132.2894
2,460.5735,132.2894
2,470.5758,130.6736
2,480.5775,135.1352
2,490.5782,135.6192
2,500.5789,135.6112
2,510.5792,137.1008
2,520.5829,136.4854
2,530.5839,135.7017
2,540.5856,132.7195
2,550.589,130.8885
2,560.5891,132.2059
2,570.5901,132.2059
2,580.5915,405.6423
2,590.5922,405.6545
2,600.5934,409.5417
2,610.5945,408.8159
2,620.5956,408.898
2,630.5975,409.6906
2,640.5995,407.3124
2,650.6022,407.3124
2,660.6044,405.8111
2,670.6047,407.4243
2,680.6108,407.7922
2,690.6108,407.0129
2,700.6108,406.7186
2,710.6114,408.6526
2,720.6136,411.7729
2,730.6237,412.3014
2,740.6187,413.5893
2,750.6202,413.5893
2,760.6219,414.6999
2,770.6235,414.6999
2,780.6238,414.1071
2,790.6239,414.1071
2,800.6252,413.4977
2,810.6262,412.2997
2,820.6303,411.522
2,830.6306,410.4736
2,840.6314,410.6709
2,850.633,409.0154
2,860.6341,408.7614
2,870.6361,408.7614
2,880.6382,409.1913
2,890.6408,409.1913
2,900.643,409.1913
ATTEMPT, Time, Performance
2,20.76349,22.9082
2,31.47635,22.7065
2,42.43474,21.76901
2,52.54468,21.76901
2,63.72237,23.01939
2,73.72454,26.47146
2,85.0598,26.47146
2,95.10611,26.46342
2,108.4039,26.46342
2,118.5536,26.3573
2,128.5687,30.79453
2,140.5272,31.18005
2,150.6624,31.18005
2,160.7198,31.18005
2,170.8026,31.17617
2,180.8015,32.18648
2,190.8025,32.39014
2,200.8035,32.3959
2,210.807,32.3959
2,220.8089,32.40425
2,230.8138,32.86996
2,240.8141,33.42652
2,250.8173,33.59624
2,260.8197,33.7054
2,270.8227,33.7054
2,280.8245,33.76157
2,290.8268,35.29761
2,300.8295,39.49686
2,310.8305,40.0681
2,320.8313,40.51477
2,330.8337,42.82397
2,340.8361,46.42881
2,350.8387,47.78754
2,360.8408,48.2654
2,370.841,50.60958
2,380.8438,50.77301
2,390.8462,48.71421
2,400.8463,49.02148
2,410.8484,50.85976
2,420.8487,50.85976
2,430.8504,51.07862
2,440.8534,51.16893
2,450.8536,48.89156
2,460.8553,47.28746
2,470.8559,49.49745
2,480.8574,49.49745
2,490.858,49.49745
2,500.8588,49.57874
2,510.8611,50.10913
2,520.862,50.10913
2,530.8643,47.71999
2,540.8644,47.71999
2,550.8658,47.71999
2,560.8684,47.94101
2,570.8685,144.4834
2,580.8698,146.6008
2,590.8712,146.6008
2,600.8731,621.2075
2,610.8757,621.2396
2,620.8785,623.4413
2,630.8804,623.4413
2,640.8823,623.5203
2,650.8831,624.9434
2,660.8868,624.9434
2,670.8894,627.0863
2,680.893,626.761
2,690.8945,15931.14
2,700.8962,15933.5
2,710.8969,15934.78
2,720.8982,15934.78
2,730.9014,15936.41
2,740.9025,15936.41
2,750.9034,15936.41
2,760.9061,15938.2
2,770.9065,15938.5
2,780.9079,15938.5
2,790.9082,15938.5
2,800.9108,15937.21
2,810.9108,15940.49
2,820.9139,15942.26
2,830.9149,15942.26
2,840.915,15942.26
2,850.9175,15943.84
2,860.9188,15944.63
2,870.9217,15946.18
2,880.9241,15945.62
2,890.9246,15945.62
2,900.9262,15946.23
ATTEMPT, Time, Performance
1,19.69806,15.14524
1,29.6992,16.68579
1,39.70207,16.6779
1,49.7117,16.65575
1,59.71103,23.42802
1,74.11519,55.04023
1,84.11534,69.22996
1,94.11691,70.40385
1,104.1175,71.35212
1,114.1195,82.12581
1,124.122,82.58183
1,134.1232,85.37143
1,144.1254,85.04544
1,154.1292,86.18393
1,164.138,85.42974
1,174.1345,85.04068
1,184.1347,85.04068
1,194.1347,86.02325
1,204.1372,90.90836
1,214.1384,90.90836
1,224.1417,91.38689
1,234.1447,91.43255
1,244.1486,93.42969
1,254.1494,94.21678
1,264.1517,112.6221
1,274.1533,113.4264
1,284.1549,113.4264
1,294.1578,113.4264
1,304.1645,113.4264
1,314.1685,113.4264
1,324.1689,118.2931
1,334.1698,119.0466
1,344.1703,120.3657
1,354.1707,120.3657
1,364.1717,120.3657
1,374.1725,150.3298
1,384.1726,151.5864
1,394.1759,151.5864
1,404.176,277.6216
1,414.177,278.509
1,424.1793,278.509
1,434.1821,278.509
1,444.1851,278.509
1,454.186,278.509
1,464.1907,278.509
1,474.192,278.509
1,484.1927,278.509
1,494.1949,278.509
1,504.1949,555.452
1,514.1979,508.7678
1,524.2006,509.6518
1,534.201,509.6518
1,544.2039,509.6518
1,554.2042,509.6518
1,564.2065,509.6518
1,574.2111,509.6518
1,584.2115,509.6518
1,594.2139,509.6518
1,604.2147,509.6518
1,614.2164,509.6518
1,624.2202,509.6518
1,634.2206,509.6518
1,644.2215,509.6518
1,654.2231,509.6518
1,664.2251,509.6518
1,674.2294,509.6518
1,684.23,509.6518
1,694.2306,509.6518
1,704.2311,509.6518
1,714.2311,509.6518
1,724.2382,509.6518
1,734.2375,509.6518
1,744.2397,509.6518
1,754.243,509.6518
1,764.2488,509.6518
1,774.2523,509.6518
1,784.2548,509.6518
1,794.2553,509.6518
1,804.257,509.6518
1,814.2646,509.6518
1,824.2737,509.6518
1,834.2772,509.6518
1,844.278,509.6518
1,854.28,509.6518
1,864.2823,509.6518
1,874.2824,509.6518
1,884.2852,509.6518
1,894.2897,509.6518
ATTEMPT, Time, Performance
