ATTEMPT, Time, Performance
1,19.70594,22.08627
1,29.70642,21.27082
1,39.70142,21.79985
1,49.70942,20.91614
1,59.71129,28.14098
1,69.71257,27.53069
1,79.71566,23.3282
1,89.71891,23.11086
1,99.76377,21.62844
1,109.7706,23.57687
1,119.7518,22.75518
1,129.7567,23.91139
1,139.7534,24.20648
1,149.7594,23.58408
1,159.7555,24.09057
1,169.7623,24.41574
1,179.7796,23.60123
1,189.7801,22.55296
1,199.7809,23.75107
1,209.7811,22.76418
1,219.7911,22.25919
1,229.7915,21.89309
1,239.7936,23.50965
1,249.7945,25.96076
1,259.7946,24.77133
1,269.7962,23.00084
1,279.8056,22.35779
1,289.801,22.54545
1,299.8091,21.87791
1,309.8123,23.39852
1,319.8143,23.16718
1,329.8159,23.32928
1,339.8188,22.92535
1,349.8197,21.86286
1,359.8198,23.48599
1,369.8223,22.38841
1,379.8308,24.78932
1,389.8373,24.27597
1,399.8458,24.53218
1,409.843,23.62429
1,419.8563,24.72376
1,429.8573,24.5621
1,439.8641,23.88527
1,449.8703,24.6154
1,459.8719,24.31117
1,469.8727,26.52373
1,479.8749,25.30172
1,489.8754,24.9583
1,499.8775,24.93638
1,509.879,23.96001
1,519.8807,23.02323
1,529.882,25.73331
1,539.8827,26.00756
1,549.8829,22.89159
1,559.8911,29.98462
1,569.8919,29.6692
1,579.8965,24.04255
1,589.8945,24.31005
1,599.8957,24.91428
ATTEMPT, Time, Performance
2,19.73323,23.51182
2,29.73016,21.07973
2,39.74609,22.38296
2,49.74175,22.6484
2,59.74449,24.69953
2,69.75386,23.41208
2,79.75287,24.99798
2,89.76215,24.70779
2,99.76168,23.92787
2,109.7663,26.74502
2,119.768,23.65394
2,129.77,24.53023
2,139.7727,23.19374
2,149.7729,24.25536
2,159.7729,23.94481
2,169.7834,25.3383
2,179.8015,25.8421
2,189.805,23.29456
2,199.806,24.3217
2,209.8218,23.74596
2,219.8235,25.28648
2,229.823,25.74097
2,239.8254,23.32939
2,249.8286,23.96803
2,259.8653,23.46782
2,269.8489,23.69216
2,279.8516,23.06113
2,289.8531,27.14401
2,299.8612,23.73167
2,309.8671,25.26137
2,319.87,25.16292
2,329.872,25.34872
2,339.8822,26.67387
2,349.8832,27.02959
2,359.8882,25.35472
2,369.8908,24.02164
2,379.8922,27.9678
2,389.9053,26.60735
2,399.9012,28.47856
2,409.9046,30.45167
2,419.9053,32.77104
2,429.9077,32.19642
2,439.9078,30.70929
2,449.9082,31.15617
2,459.9095,30.56665
2,469.9113,30.79638
2,479.9232,30.37657
2,489.9212,30.35142
2,499.9225,30.01377
2,509.9247,31.59482
2,519.9271,32.92478
2,529.9295,33.6311
2,539.9316,32.26751
2,549.937,32.85608
2,559.9395,33.38201
2,569.9405,33.42143
2,579.9442,32.01293
2,589.9442,31.48629
2,599.9453,31.03794
3,19.70523,23.12543
3,29.70587,21.72177
