ATTEMPT, Time, Performance
1,19.73661,25.12363
1,29.73233,21.08383
1,39.73458,21.60681
1,49.73641,21.60313
1,59.73664,22.60292
1,69.74535,22.41782
1,79.74942,23.13846
1,89.75029,22.88793
1,99.75296,23.02969
1,109.767,23.70295
1,119.7697,21.43768
1,129.7712,23.06587
1,139.7845,22.16537
1,149.7857,22.46741
1,159.7865,21.82016
1,169.7876,24.40416
1,179.7892,25.0537
1,189.79,23.18007
1,199.8002,24.99469
1,209.8041,24.53225
1,219.8121,25.30102
1,229.8141,24.74197
1,239.8267,24.6318
1,249.8325,24.55308
1,259.8309,24.47592
1,269.8315,24.54936
1,279.8349,22.29475
1,289.8354,24.5439
1,299.8482,24.17583
1,309.8527,25.96987
1,319.8579,25.31765
1,329.8547,25.79854
1,339.8583,26.99051
1,349.8659,26.76274
1,359.8683,26.47248
1,369.8696,26.00191
1,379.8701,26.05949
1,389.8709,23.76652
1,399.8722,25.9687
1,409.8723,27.00856
1,419.8725,30.15754
1,429.8746,30.92744
1,439.8759,31.67807
1,449.8844,30.91741
1,459.8873,32.99086
1,469.8899,32.52052
1,479.8911,31.03151
1,489.8913,29.9415
1,499.8926,30.12368
1,509.8956,29.01443
1,519.8969,30.40786
1,529.898,31.11188
1,539.905,30.74744
1,549.9074,29.62501
1,559.9069,29.30637
1,569.9073,29.97254
1,579.9092,28.95419
1,589.9114,30.20511
1,599.9141,30.57421
ATTEMPT, Time, Performance
2,19.72826,21.5637
2,29.72378,20.08079
2,39.7324,24.15616
2,49.73503,24.15301
2,59.73622,26.70136
2,69.73792,26.70136
2,79.74159,25.77345
2,89.74492,27.42941
2,99.74582,28.15237
2,109.7465,30.20189
2,119.7558,27.10798
2,129.759,30.99595
2,139.7603,30.63755
2,149.7604,26.54629
2,159.7629,30.20181
2,169.7644,29.85261
2,179.7657,30.85107
2,189.7746,29.27796
2,199.7761,29.98839
2,209.7776,28.96501
2,219.7813,28.19892
2,229.7823,29.53008
2,239.7848,30.6078
2,249.7871,29.98757
2,259.7888,30.57713
2,269.7959,31.92657
2,279.7972,32.18864
2,289.8082,35.10615
2,299.8053,36.12658
2,309.8087,36.94393
2,319.8089,37.85158
2,329.8148,37.43359
2,339.816,36.92458
2,349.8168,36.25823
2,359.8204,35.78403
2,369.8225,35.94778
2,379.8233,37.77665
2,389.8243,40.13141
2,399.8267,42.8726
2,409.8287,43.47316
2,419.8339,45.17464
2,429.8354,51.00006
2,439.8379,51.58852
2,449.8398,53.1736
2,459.847,53.12821
2,469.8413,52.32403
2,479.8435,55.78408
2,489.8447,55.61952
2,499.8477,67.54527
2,509.853,68.38389
2,519.8536,152.9233
2,529.8544,152.8309
2,539.8557,135.9005
2,549.857,135.237
2,559.8665,134.6366
2,569.8612,128.2768
2,579.8638,128.9137
2,589.8667,129.0462
2,599.8737,128.8097
ATTEMPT, Time, Performance
3,19.72604,23.14847
3,29.71679,21.67005
3,39.71893,26.35409
3,49.72175,26.41255
3,59.7282,28.1921
3,69.73134,28.3169
3,79.73256,27.47658
3,89.73286,28.16455
3,99.73477,25.63557
3,109.7358,26.78645
3,119.7367,30.5633
3,129.7385,35.4729
3,139.7398,59.25675
3,149.7417,53.15588
3,159.7452,56.10001
3,169.7451,58.1413
3,179.746,60.87704
3,189.7466,61.04977
3,199.7489,59.00891
3,209.7492,64.2625
3,219.7512,61.94532
3,229.7544,63.49075
3,239.7546,63.63388
3,249.7555,65.55081
3,259.7572,68.61896
3,269.7591,70.15798
3,279.7611,73.53688
3,289.7618,73.93467
3,299.7659,61.54116
3,309.7682,61.28087
3,319.7708,55.55614
3,329.7727,53.69553
3,339.773,54.21047
3,349.7761,56.92274
3,359.7773,58.702
3,369.78,54.59851
3,379.7842,57.52192
3,389.7842,58.30315
3,399.7846,58.40419
3,409.7856,58.40419
3,419.7876,55.4995
3,429.7891,55.3623
3,439.7916,57.7774
3,449.7925,54.66704
3,459.7942,52.02419
3,469.7944,53.24356
3,479.7974,54.88964
3,489.7986,56.98275
3,499.8009,57.59373
3,509.8009,59.68522
3,519.801,57.20864
3,529.8035,60.69261
3,539.804,61.19635
3,549.804,61.93734
3,559.8057,61.93734
3,569.809,60.84619
3,579.8118,58.43601
3,589.8134,57.90219
3,599.8165,59.31891
ATTEMPT, Time, Performance
4,19.72597,22.32531
4,29.72209,21.63808
4,39.72532,21.84646
4,49.72831,21.32086
4,59.73514,21.61405
4,69.73653,20.72597
4,79.7396,21.9708
4,89.74255,21.36241
4,99.74769,22.82965
4,109.7478,26.06246
4,119.7481,22.53934
4,129.7571,21.54713
4,139.7583,20.60644
4,149.7578,22.6845
4,159.7608,22.82459
4,169.7635,23.09629
4,179.7726,24.65657
4,189.7746,23.37577
4,199.7745,23.69959
4,209.7783,22.84504
4,219.7814,22.94968
4,229.7835,22.34675
4,239.7862,23.65787
4,249.7881,23.99465
4,259.7957,24.70759
4,269.7959,24.7448
4,279.7967,23.16731
4,289.7985,24.4112
4,299.7993,23.46154
4,309.8018,21.86851
4,319.8025,23.48662
4,329.806,29.56788
4,339.8156,28.96829
4,349.8191,26.27675
4,359.8206,27.13248
4,369.8224,24.25942
4,379.8248,26.2506
4,389.8275,25.47955
4,399.8357,24.32552
4,409.8376,24.49386
4,419.8387,23.75979
4,429.8394,23.79857
4,439.8434,21.9417
4,449.8471,25.61278
4,459.8564,23.66669
4,469.8554,23.35153
4,479.8557,22.56146
4,489.857,22.58883
4,499.8594,22.73262
4,509.8609,22.37793
4,519.8638,22.51619
4,529.8643,19.94775
4,539.8666,23.52125
4,549.8718,24.12101
4,559.8736,23.04897
4,569.8756,22.33642
4,579.8769,21.19215
4,589.8801,23.97223
4,599.8815,24.49658
ATTEMPT, Time, Performance
5,19.73848,21.7067
5,29.73352,20.54431
5,39.73703,26.38296
5,49.73831,24.98044
5,59.74548,24.07136
5,69.7539,24.00856
5,79.75624,25.26434
5,89.76139,24.39992
5,99.75893,22.86915
5,109.7597,23.31172
5,119.7609,23.08143
5,129.7691,23.29112
5,139.7699,23.05403
5,149.7694,26.87477
5,159.7719,27.36104
5,169.7731,25.73299
5,179.7742,27.62811
5,189.7753,24.62451
5,199.7783,26.08947
5,209.7807,25.38413
5,219.7809,25.93965
5,229.7817,25.86778
5,239.7879,25.80742
5,249.791,25.70625
5,259.7943,34.42287
5,269.7953,33.64918
5,279.7959,35.88159
5,289.7971,40.95736
5,299.7986,37.21125
5,309.7999,36.80136
5,319.8011,37.87977
5,329.802,36.97475
5,339.807,27.48545
5,349.8093,27.80542
5,359.8127,37.58115
5,369.8143,37.71928
5,379.8184,38.06108
5,389.8201,48.74083
5,399.8215,38.33155
5,409.8232,38.8414
5,419.8292,39.78044
5,429.8292,44.53003
5,439.8317,44.61341
5,449.8342,40.65329
5,459.8356,32.5295
5,469.8366,39.21703
5,479.8388,40.51095
5,489.8416,41.36644
5,499.847,43.89289
5,509.8474,46.50691
5,519.8483,49.382
5,529.8484,46.756
5,539.8525,49.52445
5,549.8558,50.83771
5,559.8558,54.58992
5,569.8571,60.28862
5,579.8594,60.20826
5,589.8612,96.286
5,599.8627,94.05901
ATTEMPT, Time, Performance
6,19.72169,22.75228
6,29.71882,22.10516
6,39.72054,23.25409
6,49.72288,23.19161
6,59.73389,23.59079
6,69.73608,22.07968
6,79.73785,24.48636
6,89.74075,23.51315
6,99.74259,22.77386
6,109.7438,24.40294
6,119.7538,24.05217
6,129.7564,25.44601
6,139.7567,24.58027
6,149.7586,25.04161
6,159.7593,23.80443
6,169.7602,24.1658
6,179.7604,24.34628
6,189.7624,24.11809
6,199.7707,25.31049
6,209.7784,23.57405
6,219.7704,28.84866
6,229.7714,29.32316
6,239.7746,26.63863
6,249.7747,27.71729
6,259.7773,27.90401
6,269.7784,27.55947
6,279.7811,27.16307
6,289.7821,26.46942
6,299.7836,27.88231
6,309.7892,29.76982
6,319.7914,28.91094
6,329.7941,28.54856
6,339.7951,28.52086
6,349.7952,26.91719
6,359.7962,28.17462
6,369.7986,27.7134
6,379.7991,25.85045
6,389.7995,27.20201
6,399.8008,26.16974
6,409.8041,26.1872
6,419.8077,25.73364
6,429.8106,27.36202
6,439.8133,27.00461
6,449.8134,29.49523
6,459.8151,27.92427
6,469.817,28.77793
6,479.8184,27.84101
6,489.8207,28.83545
6,499.8214,27.65471
6,509.8235,26.64677
6,519.8237,26.33655
6,529.8285,27.25958
6,539.8311,29.05047
6,549.8333,29.43226
6,559.8352,28.82394
6,569.8372,31.22404
6,579.8395,32.98579
6,589.8407,35.48414
6,599.8413,32.84733
ATTEMPT, Time, Performance
7,19.69465,22.62329
7,29.69509,20.84664
7,39.70062,23.57009
7,49.74101,24.69703
7,59.77282,29.52262
7,69.77426,29.20704
7,79.80251,29.41334
7,89.83583,29.61435
7,99.83621,29.88693
7,109.8371,31.81743
7,119.8377,32.33881
7,129.8717,33.41867
7,139.9001,33.82189
7,149.9077,34.36551
7,159.9366,35.38459
7,169.9382,37.09233
7,179.941,37.89148
7,189.9814,42.4973
7,200.0065,48.62025
7,210.0097,50.54971
7,220.0125,51.14888
7,230.0388,50.21947
7,240.0405,51.52616
7,250.0696,59.97067
7,260.0721,106.3569
7,270.0727,102.2867
7,280.1005,106.0468
7,290.1013,110.0048
7,300.1089,113.9788
7,310.1708,100.7708
7,320.1717,94.31712
7,330.1805,97.07683
7,340.2031,97.70618
7,350.2083,100.409
7,360.2373,104.4946
7,370.2703,100.2886
7,380.3003,106.3447
7,390.3028,105.5549
7,400.338,107.087
7,410.3708,109.5564
7,420.4059,112.3481
7,430.4095,112.3481
7,440.4382,115.5599
7,450.4712,121.7807
7,460.4729,124.1922
7,470.5013,125.6082
7,480.5368,128.1568
7,490.5655,127.9137
7,500.5966,125.0906
7,510.6071,124.1225
7,520.6006,120.4632
7,530.6674,126.6604
7,540.6647,128.6405
7,550.6657,126.4533
7,560.6715,192.7465
7,570.6992,192.229
7,580.7021,192.9533
7,590.7329,192.9533
1,19.71749,23.21066
1,29.71414,20.34046
1,39.71767,22.12537
1,49.73199,22.17538
1,59.7326,24.28587
1,69.73262,23.06178
1,79.73493,23.19619
1,89.73627,24.42616
1,99.73807,23.87297
1,109.7394,24.22825
1,119.7402,23.16121
1,129.7402,23.32828
1,139.748,22.24914
1,149.7483,21.88378
1,159.7509,21.36667
1,169.7513,23.688
1,179.7554,23.97149
1,189.7576,22.94316
1,199.7583,23.04215
1,209.7605,21.33499
1,219.7686,22.80307
1,229.7773,23.19761
1,239.7789,25.29261
1,249.7815,25.5934
1,259.7879,25.17108
1,269.7927,25.96926
1,279.7967,23.40596
1,289.7979,24.87527
1,299.8014,24.1883
1,309.8015,22.78771
1,319.8084,22.92722
1,329.8096,23.0654
1,339.8116,22.27538
1,349.8148,22.85583
1,359.8154,23.14636
1,369.8179,21.5362
1,379.8188,23.35454
1,389.8286,23.3073
1,399.8291,23.17523
1,409.8298,23.43032
1,419.8315,24.0701
1,429.8323,23.87807
1,439.8346,21.37363
1,449.8422,23.81713
1,459.8407,23.60034
1,469.8473,23.2221
1,479.8483,23.05794
1,489.8524,23.53737
1,499.8544,22.83784
1,509.8559,21.37276
1,519.8577,22.34285
1,529.8578,20.91961
1,539.8615,22.78385
1,549.8673,21.49368
1,559.8686,23.41076
1,569.8693,23.30859
1,579.87,23.10384
1,589.8716,23.07056
1,599.8746,21.18877
ATTEMPT, Time, Performance
2,19.72172,23.504
2,29.71777,22.05264
2,39.71843,24.85932
2,49.72744,24.82801
2,59.72807,26.43392
2,69.73085,26.03397
2,79.73557,28.98967
2,89.73583,30.41376
2,99.73735,31.2351
2,109.7375,33.17093
2,119.7398,32.57613
2,129.7402,27.25751
2,139.7472,26.2574
2,149.7487,28.20663
2,159.7499,27.77728
2,169.753,28.0971
2,179.754,27.66864
2,189.7566,24.12065
2,199.7587,27.40187
2,209.7597,29.38836
2,219.7605,30.10388
2,229.7608,29.02778
2,239.7619,31.48246
2,249.7681,29.9125
2,259.7709,28.58571
2,269.7731,32.33451
2,279.7758,33.68473
2,289.7763,31.58073
2,299.7783,27.33343
2,309.7791,30.72795
2,319.7809,31.62243
2,329.7854,29.73167
2,339.7859,34.49003
2,349.7882,34.26451
2,359.7892,34.42478
2,369.7997,34.79482
2,379.7961,35.70945
2,389.7965,34.77478
2,399.7974,36.52699
2,409.8007,36.05499
2,419.8062,35.09174
2,429.8067,35.75795
2,439.8093,34.99459
2,449.8109,33.18926
2,459.8116,31.10342
2,469.8138,34.14588
2,479.8151,33.96501
2,489.8183,33.31746
2,499.8202,35.08326
2,509.8277,35.91075
2,519.83,36.29997
2,529.8331,35.41319
2,539.8342,33.78455
2,549.8375,33.38271
2,559.8385,33.6779
2,569.8405,31.66511
2,579.8533,34.47697
2,589.8492,34.89475
2,599.8508,33.08125
ATTEMPT, Time, Performance
3,19.75554,22.72669
3,29.74695,21.85968
3,39.75103,25.02416
3,49.75468,23.80084
3,59.75797,25.18063
3,69.76144,25.70987
3,79.76426,25.28984
3,89.76536,24.81456
3,99.76846,24.68603
3,109.7716,25.92498
3,119.7758,23.95292
3,129.7758,23.79876
3,139.783,23.23429
3,149.7873,24.38239
3,159.796,25.01829
3,169.7943,26.41409
3,179.7972,28.33337
3,189.7981,27.63417
3,199.804,27.2672
3,209.8056,24.81
3,219.8087,25.1507
3,229.8106,25.13369
3,239.8138,23.54819
3,249.8154,23.73475
3,259.8177,23.52061
3,269.8227,24.48321
3,279.8234,23.91752
3,289.824,25.06745
3,299.8261,24.40554
3,309.8266,24.38813
3,319.8282,23.5238
3,329.8282,22.4777
3,339.8313,22.60101
3,349.8329,22.32527
3,359.8351,22.59595
3,369.837,24.98983
3,379.8418,25.49792
3,389.8431,25.22141
3,399.8435,23.99508
3,409.8451,24.48059
3,419.848,24.72271
3,429.8505,25.31438
3,439.8538,24.79118
3,449.8565,25.36465
3,459.8615,25.49982
3,469.8622,24.83931
3,479.8716,23.86885
3,489.8645,25.24043
3,499.8672,26.00381
3,509.8692,25.18463
3,519.8715,25.35342
3,529.8745,25.40704
3,539.8761,27.17063
3,549.8809,27.31089
3,559.8843,27.90116
3,569.8861,28.68705
3,579.8864,28.40003
3,589.8882,28.68224
3,599.8911,30.17537
ATTEMPT, Time, Performance
4,19.7201,23.60616
4,29.71742,20.93024
4,39.72023,22.55158
4,49.73216,21.82918
4,59.73022,22.48647
4,69.72976,22.36794
4,79.73077,22.61076
4,89.7313,21.79614
4,99.73468,19.75842
4,109.7377,20.85955
4,119.7396,19.54519
4,129.7499,20.76367
4,139.7545,20.83019
4,149.7564,22.6714
4,159.7573,21.91267
4,169.7587,23.77184
4,179.7587,23.23369
4,189.7602,19.73608
4,199.7695,20.98241
4,209.7711,20.98099
4,219.7749,21.24264
4,229.7762,20.27859
4,239.7764,23.80046
4,249.7783,23.72119
4,259.7812,22.24051
4,269.7907,22.51282
4,279.7939,22.54659
4,289.7932,23.3692
4,299.7953,21.73135
4,309.8008,22.92043
4,319.801,22.40208
4,329.815,22.12826
4,339.8129,22.20994
4,349.8154,20.58909
4,359.8184,21.8941
4,369.8196,21.86045
4,379.8222,20.59482
4,389.8293,20.36529
4,399.8298,20.1675
4,409.8331,21.8334
4,419.8376,21.21279
4,429.8398,21.18653
4,439.8413,19.99316
4,449.8506,21.2351
4,459.8544,21.13984
4,469.8576,21.70534
4,479.8598,21.59337
4,489.8676,21.35969
4,499.8725,23.84512
4,509.8739,21.73716
4,519.8766,23.41482
4,529.8771,22.86747
4,539.8777,21.2156
4,549.8817,20.64816
4,559.8889,20.77814
4,569.8929,21.28161
4,579.8964,19.63439
4,589.9117,21.2832
4,599.9145,21.23053
ATTEMPT, Time, Performance
5,19.73121,23.61458
5,29.72545,21.91148
5,39.72614,23.87173
5,49.743,22.79165
5,59.74992,23.81044
5,69.75572,23.17198
5,79.75756,24.26513
5,89.75998,24.52764
5,99.76861,22.98117
5,109.7744,24.40875
5,119.7745,22.12807
5,129.7808,22.49758
5,139.7812,22.76009
5,149.7833,23.38235
5,159.7971,23.19823
5,169.7945,23.075
5,179.7983,24.07351
5,189.8002,23.27262
5,199.8018,23.41891
5,209.8043,21.90861
5,219.8127,23.58691
5,229.8184,21.81157
5,239.8186,26.33092
5,249.8251,27.95187
5,259.8242,25.51951
5,269.8265,28.10886
5,279.832,26.98025
5,289.8342,23.33801
5,299.8347,25.84634
5,309.8364,25.83893
5,319.8384,26.36671
5,329.8393,26.87097
5,339.8409,26.66582
5,349.8438,35.6621
5,359.8467,36.27731
5,369.8542,35.60339
5,379.8534,36.72838
5,389.8535,37.03585
5,399.8553,40.14998
5,409.8565,42.6455
5,419.858,199.9564
5,429.8613,199.8712
5,439.8635,200.3011
5,449.864,187.774
5,459.8699,187.7671
5,469.8725,186.1977
5,479.8734,188.0574
5,489.876,188.9485
5,499.8788,164.8873
5,509.8796,164.3521
5,519.8818,163.1576
5,529.8822,162.7578
5,539.8829,162.7082
5,549.8855,162.5067
5,559.8867,163.3094
5,569.8914,163.5388
5,579.8946,164.132
5,589.897,164.2568
ATTEMPT, Time, Performance
6,19.72164,23.67357
6,50.03191,22.28882
6,60.03436,23.15113
6,70.04245,22.40116
6,80.04274,27.80074
6,90.04329,27.13424
6,100.0458,27.11293
6,110.047,28.25045
6,120.0474,28.04055
6,130.0482,28.30219
6,140.0494,27.52702
