ATTEMPT, Time, Performance
1, 19.72457, 11.00306
1, 29.71641, 11.00306
1, 39.71766, 11.00306
1, 49.72737, 11.00306
1, 59.72976, 11.00306
1, 69.7308, 11.00306
1, 79.73911, 11.00306
1, 89.74563, 11.00306
1, 99.74922, 11.00306
1, 109.7524, 11.00306
1, 119.7554, 11.00306
1, 129.7559, 11.00306
1, 139.7656, 11.00306
1, 149.7682, 11.00306
1, 159.7699, 11.00306
1, 169.7727, 13.71843
1, 179.7767, 13.71843
1, 189.7772, 70.09619
1, 199.7863, 70.09619
1, 209.7919, 70.09619
1, 219.7892, 70.09619
1, 229.7916, 70.09619
1, 239.7956, 70.09619
1, 249.7979, 70.09619
1, 259.8056, 70.09619
1, 269.8069, 70.09619
1, 279.8076, 70.09619
1, 289.8095, 77.44131
1, 299.8183, 77.44131
ATTEMPT, Time, Performance
2, 19.71051, 11.63202
2, 29.70272, 13.249
2, 39.70615, 13.39659
2, 49.71672, 13.39659
2, 59.72041, 13.39659
2, 69.72518, 13.39659
2, 79.72634, 13.39659
2, 90.20235, 13.39659
2, 100.3228, 13.39659
2, 110.328, 13.39659
2, 120.3298, 13.39659
2, 130.3305, 13.39659
2, 140.3315, 13.39659
2, 150.5717, 13.39659
2, 161.0201, 13.2886
2, 171.7932, 13.2886
2, 181.7968, 13.2886
2, 191.7994, 13.21758
2, 202.0929, 13.06861
2, 212.4312, 13.06861
2, 222.7486, 13.06861
2, 233.2408, 13.06861
2, 243.4365, 13.06861
2, 253.4946, 13.06861
2, 263.7412, 15.77657
2, 274.3904, 15.72218
2, 284.4138, 15.72218
2, 294.4268, 15.72218
