ATTEMPT, Time, Performance
1,19.72785,23.99697
1,29.72451,23.65804
1,39.72574,23.34775
1,49.73414,23.17104
1,59.73429,21.70365
1,69.73873,26.05019
1,79.74171,26.05019
1,89.74498,26.05019
1,99.74686,26.05019
1,109.7522,25.99236
1,119.754,27.05407
1,129.7568,26.71906
1,139.7577,26.71906
1,149.7597,26.43431
1,159.7627,26.10552
1,169.7659,27.52206
1,179.7737,28.24782
1,189.7742,28.24782
1,199.7742,28.09059
1,209.7771,28.09059
1,219.7815,29.50374
1,229.7823,34.4301
1,239.783,34.47588
1,249.7836,34.47588
1,259.7852,34.47588
1,269.794,34.27497
1,279.7958,34.41044
1,289.7962,34.14771
1,299.7964,34.14771
1,309.7973,34.17402
1,319.7987,34.17402
1,329.8011,34.6061
1,339.8036,35.31864
1,349.8051,35.31864
1,359.8089,35.31864
1,369.8116,35.31864
1,379.813,35.19976
1,389.8141,35.75393
1,399.815,35.93042
1,409.8182,36.08673
1,419.8214,36.08673
1,429.8232,36.08673
1,439.8263,36.01694
1,449.8297,36.4771
1,459.8307,36.4003
1,469.8395,36.35413
1,479.8362,36.35413
1,489.837,35.84328
1,499.8374,35.62403
1,509.839,35.19961
1,519.8406,35.24901
1,529.8424,35.29018
1,539.8429,35.25264
1,549.8453,34.96354
1,559.848,35.76903
1,569.8491,35.93703
1,579.8514,36.08172
1,589.8539,36.07061
1,599.8541,36.12119
ATTEMPT, Time, Performance
2,19.7493,23.22314
2,29.76085,23.12113
2,39.75942,22.71977
2,49.76154,22.54849
2,59.76289,23.28941
2,69.77616,22.70673
2,79.77629,22.79074
2,89.78019,22.79074
2,99.77938,22.79074
2,109.7854,20.50673
2,119.7964,23.82607
2,129.802,23.6788
2,139.8026,23.6788
2,149.804,23.6788
2,159.8167,23.6788
2,169.8275,21.67739
2,179.8575,23.35106
2,189.8665,23.07029
2,199.8808,22.72718
2,209.8807,22.70654
2,219.8831,23.14968
2,229.8833,24.67848
2,239.8835,25.12636
2,249.8849,25.12636
2,259.8849,25.12636
2,269.8859,24.30091
2,279.8985,23.36625
2,303.7606,3.39557
2,313.7542,3.547205
2,323.7553,3.54198
2,333.7895,3.544886
2,343.7758,3.586446
2,353.7838,11.20165
2,363.7867,21.59101
2,373.792,21.47179
2,383.7928,21.28564
2,393.7935,21.04345
2,403.7951,19.4557
2,413.7962,19.79194
2,423.7969,19.16309
2,433.8049,18.71544
2,443.8094,18.14271
2,453.8132,17.25395
2,463.8136,19.54605
2,473.8154,21.23629
2,483.8167,20.58445
2,493.8253,20.38962
2,503.8266,20.38962
2,513.8275,16.55514
2,523.8302,21.41292
2,533.8336,21.0734
2,543.8438,20.68204
2,553.848,20.68204
2,563.8494,18.821
2,573.8535,21.35562
2,583.8552,21.27915
2,593.8645,21.02017
