ATTEMPT, Time, Performance
1, 19.69809, 6.40914
1, 29.7002, 6.580191
1, 39.69728, 6.507838
1, 49.70655, 6.507838
1, 59.71641, 6.470592
1, 69.71515, 6.470592
1, 79.71919, 6.400628
1, 89.72076, 6.400628
1, 99.72243, 6.400628
1, 109.723, 6.394413
1, 119.7365, 6.394413
1, 129.737, 6.394413
1, 139.7391, 6.313904
1, 149.7399, 6.313904
1, 159.7425, 6.313904
1, 169.7431, 6.313904
1, 179.7521, 6.313904
1, 189.7561, 7.059794
1, 199.7561, 7.059794
1, 209.759, 7.007257
1, 219.7649, 7.007257
1, 229.7607, 7.007257
1, 239.7615, 7.007257
1, 249.7643, 7.007257
1, 259.7726, 7.007257
1, 269.7734, 6.911242
1, 279.7739, 6.911242
1, 289.7776, 6.911242
1, 299.7792, 6.911242
1, 9.748138, 0.1073614
2, 9.977448, 0.1073614
2, 19.98077, 0.1569566
2, 29.98358, 0.1844176
2, 39.98984, 0.1844176
2, 50.00104, 0.1837966
2, 60.00317, 0.1837966
2, 70.00534, 0.1798282
2, 80.00586, 0.1790562
2, 90.00845, 0.1790221
2, 100.0087, 0.177665
2, 110.0094, 0.1753444
2, 120.0187, 0.1753444
2, 130.0224, 0.1753444
2, 140.0248, 0.1753444
2, 150.0291, 0.1753444
2, 160.0296, 0.1743551
2, 170.0378, 0.1743551
2, 180.0398, 0.1743551
2, 190.0404, 0.1743551
2, 200.0431, 0.1743551
2, 210.0473, 0.1743551
2, 220.05, 0.1743551
2, 230.0584, 0.1743551
2, 240.0597, 0.1743551
2, 250.071, 0.1743551
2, 260.0654, 0.1743551
2, 270.0685, 0.1743551
2, 280.0775, 0.1734647
2, 290.0807, 0.1734647
