ATTEMPT NO 2,
Time, Mean Performance
9.130906,9.933884
9.630424,13.16492
10.13156,16.3422
10.63382,16.3422
11.13639,16.3422
11.63766,16.3422
12.13942,16.3422
12.6405,16.3422
13.14209,16.3422
13.64553,16.3422
14.14591,16.3422
14.648,16.3422
15.14996,16.3422
15.64998,16.3422
16.15172,16.3422
16.65436,16.3422
17.15661,16.3422
17.65718,16.3422
18.15918,16.3422
18.66043,16.3422
19.16145,16.3422
19.66193,16.3422
20.16215,16.3422
20.66296,16.3422
21.16523,16.3422
ATTEMPT NO 3,
Time, Mean Performance
9.487609,9.933884
9.988637,13.16492
10.48897,16.3422
10.99018,16.3422
11.49158,16.3422
11.99376,16.3422
12.50317,16.3422
13.00026,16.3422
13.50059,16.3422
14.00162,16.3422
14.50216,16.3422
15.00396,16.3422
15.50587,16.3422
16.0081,16.3422
16.51019,16.3422
17.01239,16.3422
17.51407,16.3422
18.01554,16.3422
18.51855,16.3422
19.02038,16.3422
19.52101,16.3422
20.02301,16.3422
20.52332,16.3422
21.02611,16.3422
21.52678,16.3422
22.02912,16.3422
22.52927,16.3422
23.03108,16.3422
23.53394,16.3422
24.03463,16.3422
24.53534,16.3422
25.03869,16.3422
25.54117,16.3422
26.04149,16.3422
26.54205,16.3422
27.04735,16.3422
27.54509,16.3422
28.04774,16.3422
28.5484,6.408316
29.05068,6.408316
29.55171,0
30.05436,6.201601
30.55827,6.201601
31.05896,16.36105
31.56171,16.37007
32.0639,16.39521
32.56668,16.39521
33.06886,16.39521
33.57088,16.39521
34.07321,16.39521
34.57391,16.39521
35.07472,16.39521
35.57735,16.39521
36.07904,16.39521
36.5799,16.39521
37.08097,16.39521
37.58212,16.39521
38.08279,16.39521
38.58319,16.39521
39.08551,16.39521
39.58839,16.39521
40.0904,16.39521
40.59262,16.39521
41.09735,16.39521
41.59738,16.39521
42.09827,16.39521
42.60022,16.39521
43.10118,16.39521
43.60167,16.39521
44.10376,16.39521
44.60532,16.39521
45.10723,16.39521
45.60791,16.39521
46.10824,16.39521
46.61017,16.39521
47.11158,16.39521
47.61486,16.39521
48.11774,16.39521
48.61772,16.39521
49.11873,10.19361
49.61999,10.19361
50.12146,6.350133
50.62288,3.196178
51.12667,3.196178
51.62801,6.590956
52.12914,13.12033
52.62982,13.12033
53.13262,15.89765
53.6376,15.92684
54.13831,16.1081
54.63864,16.25333
55.13993,16.25333
55.6414,16.25333
56.1428,16.25333
56.64424,16.25333
57.1455,16.25333
57.64774,16.25333
58.14999,16.25333
58.65011,16.25333
59.15163,16.25333
59.65393,16.25333
60.1546,16.25333
60.65722,16.25333
61.16103,16.25333
61.66198,16.25333
62.16444,16.25333
62.66615,16.25333
63.16674,16.25333
63.6679,16.25333
64.16963,16.25333
64.67236,16.25333
65.17367,16.25333
65.67545,16.25333
66.17792,16.25333
66.67846,16.25333
67.1805,16.25333
67.6814,16.25333
68.18293,16.25333
68.68316,16.25333
69.18496,16.25333
69.6861,16.25333
70.18772,16.25333
70.68972,13.05715
71.19102,13.05715
71.69375,6.496068
72.19447,7.02542
72.69672,7.02542
73.19817,9.997206
73.69937,13.36091
74.2015,13.36091
74.703,16.68965
75.20547,16.68965
75.7076,16.68965
76.20781,16.68965
76.70814,16.68965
77.20877,16.68965
77.70963,16.68965
78.20985,16.68965
78.71101,16.68965
79.21329,16.68965
79.71372,16.68965
80.21716,16.68965
80.71893,16.68965
81.22059,16.68965
81.72145,16.68965
82.22292,16.68965
82.72424,16.68965
83.22489,16.68965
83.72736,16.68965
84.228,16.68965
84.73012,16.68965
85.23206,16.68965
85.73411,16.68965
86.23717,16.68965
86.73798,16.68965
87.23972,16.68965
87.74044,16.68965
88.24301,16.68965
88.7449,16.68965
89.24736,16.68965
89.74879,16.68965
90.25139,16.68965
90.75298,16.68965
91.25436,16.68965
91.75784,16.68965
92.25961,16.68965
92.76325,13.44448
93.2663,13.44448
93.76893,13.44448
94.27128,16.72285
ATTEMPT NO 4
Time, Mean Performance
40.3866, 57.75451
40.88858, 59.3293
41.38959, 61.38846
41.89081, 61.7926
42.39206, 61.79585
42.8977, 62.15251
43.39836, 62.12831
43.89956, 61.86366
44.40033, 62.18343
44.90049, 62.23827
45.40236, 62.58269
45.90364, 61.61896
46.40512, 61.58677
46.90517, 61.58677
47.40683, 62.26316
47.90718, 62.61555
48.40771, 62.04436
48.90836, 62.38013
49.4106, 60.18372
49.91068, 58.53462
50.41093, 58.84991
50.91603, 58.80519
51.41788, 56.60027
51.91798, 58.52117
52.4194, 60.72717
52.9218, 62.93942
53.42451, 58.88169
53.92527, 56.66045
54.42632, 56.67897
54.92795, 56.71059
55.43053, 54.54208
55.9314, 49.98632
56.43206, 45.58414
56.93248, 45.62062
57.43842, 49.95227
57.94131, 51.50122
58.44242, 51.27851
58.94503, 55.12486
59.44547, 51.23781
59.94573, 53.58282
60.44649, 56.11519
60.94766, 60.45168
61.44803, 60.02161
61.94881, 60.3762
62.44975, 60.11684
62.95199, 62.32248
63.4523, 61.66437
63.95647, 59.49448
64.45744, 60.30117
64.96232, 59.64495
65.46551, 62.17681
65.96723, 62.46421
66.4675, 62.17544
66.96824, 62.48391
67.46855, 62.48747
67.96958, 62.47058
68.47084, 62.4899
68.97578, 62.57163
69.47646, 62.54433
69.97688, 62.59565
70.48119, 63.14699
70.98017, 60.98034
71.48567, 58.78988
71.98661, 56.93166
72.49117, 54.72947
72.99198, 58.81425
73.492, 60.58411
73.99661, 60.60186
74.49699, 58.72483
74.99953, 56.80739
75.50231, 58.87851
76.00549, 61.16428
76.50693, 52.43488
77.00928, 54.64725
77.51024, 52.43127
78.01059, 48.07179
78.51612, 49.38528
