
ATTEMPT, Robot, Version
1, 1, 5
1, 2, 17
1, 3, 9
1, 4, 25
1, 5, 8
1, 6, 34
1, 7, 8
1, 8, 6
1, 9, 14
1, 10, 14
1, 11, 18
1, 12, 14
1, 13, 9
1, 14, 9
1, 15, 10
1, 16, 7
1, 17, 17
1, 18, 11
1, 19, 7
1, 20, 6
1, 21, 8
1, 22, 19
1, 23, 20
1, 24, 10
1, 25, 12
1, 26, 6
1, 27, 21
1, 28, 7
1, 29, 34
1, 30, 12
1, 31, 5
1, 32, 32
1, 33, 11
1, 34, 8
1, 35, 10
1, 36, 9
1, 37, 10
1, 38, 8
1, 39, 15
1, 40, 6
1, 41, 10
1, 42, 9
1, 43, 9
1, 44, 10
1, 45, 12
1, 46, 9
1, 47, 8
1, 48, 5
1, 49, 6
1, 50, 7

ATTEMPT, Robot, Version
2, 1, 5
2, 2, 7
2, 3, 10
2, 4, 13
2, 5, 8
2, 6, 8
2, 7, 12
2, 8, 13
2, 9, 10
2, 10, 16
2, 11, 9
2, 12, 6
2, 13, 7
2, 14, 6
2, 15, 12
2, 16, 9
2, 17, 8
2, 18, 11
2, 19, 8
2, 20, 10
2, 21, 7
2, 22, 8
2, 23, 9
2, 24, 6
2, 25, 9
2, 26, 7
2, 27, 12
2, 28, 4
2, 29, 5
2, 30, 9
2, 31, 4
2, 32, 4
2, 33, 11
2, 34, 5
2, 35, 9
2, 36, 5
2, 37, 6
2, 38, 9
2, 39, 8
2, 40, 7
2, 41, 5
2, 42, 7
2, 43, 3
2, 44, 11
2, 45, 10
2, 46, 6
2, 47, 6
2, 48, 5
2, 49, 6
2, 50, 3

ATTEMPT, Robot, Version
2, 1, 5
2, 2, 5
2, 3, 5
2, 4, 5
2, 5, 6
2, 6, 10
2, 7, 6
2, 8, 5
2, 9, 5
2, 10, 5
2, 11, 7
2, 12, 5
2, 13, 6
2, 14, 7
2, 15, 7
2, 16, 4
2, 17, 7
2, 18, 8
2, 19, 7
2, 20, 6
2, 21, 6
2, 22, 4
2, 23, 5
2, 24, 7
2, 25, 6
2, 26, 6
2, 27, 9
2, 28, 10
2, 29, 7
2, 30, 4
2, 31, 6
2, 32, 7
2, 33, 5
2, 34, 5
2, 35, 7
2, 36, 4
2, 37, 5
2, 38, 4
2, 39, 8
2, 40, 6
2, 41, 7
2, 42, 7
2, 43, 4
2, 44, 6
2, 45, 5
2, 46, 2
2, 47, 5
2, 48, 8
2, 49, 3
2, 50, 6

ATTEMPT, Robot, Version
1, 1, 1
1, 2, 1
