
ATTEMPT, PopulationSize, RandomInitValues, Sensitivity, MutationCycle, RecombinationRate, RecombinationType, MutationRate, MutationType, SelectionSize, Version, Performance, Terrain, Robot No, NoSections, NoLegs, IsTailEnabled, BodyColour, MaintainSerpentine, MaintainGait, UniformBody, Section No, AngleConstraint, RotationMultiplier, IsRotating, UseSin, IsDriving, DriveVelocity, Size, Mass, Section No, AngleConstraint, RotationMultiplier, IsRotating, UseSin, IsDriving, DriveVelocity, Size, Mass, Section No, AngleConstraint, RotationMultiplier, IsRotating, UseSin, IsDriving, DriveVelocity, Size, Mass, Section No, AngleConstraint, RotationMultiplier, IsRotating, UseSin, IsDriving, DriveVelocity, Size, Mass, Section No, AngleConstraint, RotationMultiplier, IsRotating, UseSin, IsDriving, DriveVelocity, Size, Mass, Section No, AngleConstraint, RotationMultiplier, IsRotating, UseSin, IsDriving, DriveVelocity, Size, Mass, Section No, AngleConstraint, RotationMultiplier, IsRotating, UseSin, IsDriving, DriveVelocity, Size, Mass, Section No, AngleConstraint, RotationMultiplier, IsRotating, UseSin, IsDriving, DriveVelocity, Size, Mass, Section No, AngleConstraint, RotationMultiplier, IsRotating, UseSin, IsDriving, DriveVelocity, Size, Mass, Section No, AngleConstraint, RotationMultiplier, IsRotating, UseSin, IsDriving, DriveVelocity, Size, Mass, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Leg No, AttachedBody, Position, AngleConstraint, RotationMultiplier, Length, Mass, AngleOffset, GaitMultiplier, Tail No, AngleConstraint, RotationMultiplier, TailMassMultiplier, Length, 
1, 50, True, 20, 2, 0.77, Performance, 0.31, Both, 9, 0, 13.10398, Uneven, 1, 8, 2, False, 49, True, True, True, 0, (82.0 - 50.0 - 21.5), (0.5 - 0.9 - 0.2), True, True, True, 1.15329, 1.20368, 0.8104422, 1, (120.4 - 6.8 - 79.4), (0.3 - 0.9 - 0.0), True, False, True, 0.4085098, 1.20368, 0.8104422, 2, (72.4 - 137.0 - 174.7), (0.9 - 0.0 - 0.2), False, False, False, 0.7052387, 1.20368, 0.8104422, 3, (83.9 - 75.2 - 138.7), (0.9 - 1.0 - 0.9), False, True, True, 0.03923214, 1.20368, 0.8104422, 4, (9.8 - 67.6 - 140.7), (0.8 - 0.7 - 0.9), True, True, False, 0.5438287, 1.20368, 0.8104422, 5, (99.8 - 95.0 - 134.1), (0.6 - 0.4 - 0.5), False, True, False, 1.225962, 1.20368, 0.8104422, 6, (167.0 - 22.6 - 132.5), (0.5 - 0.2 - 0.2), False, False, True, 0.8514094, 1.20368, 0.8104422, 7, (163.9 - 14.4 - 148.0), (0.5 - 0.9 - 0.2), False, True, True, 1.144237, 1.20368, 0.8104422, 8, -, -, -, -, -, -, -, -, 9, -, -, -, -, -, -, -, -, 0, -, -, -, -, -, -, -, -, 1, -, -, -, -, -, -, -, -, 2, -, -, -, -, -, -, -, -, 3, -, -, -, -, -, -, -, -, 4, 2, Left, (68.7 - 61.6 - 37.1), (0.7 - 0.2 - 0.5), 1.19627, 0.986923, 25, 1.119409, 5, 2, Right, (101.7 - 23.8 - 21.5), (0.3 - 0.5 - 0.4), 1.19627, 0.986923, 44, 1.624413, 6, -, -, -, -, -, -, -, -, 7, -, -, -, -, -, -, -, -, 8, -, -, -, -, -, -, -, -, 9, -, -, -, -, -, -, -, -, 10, -, -, -, -, -, -, -, -, 11, -, -, -, -, -, -, -, -, 12, -, -, -, -, -, -, -, -, 13, -, -, -, -, -, -, -, -, 14, -, -, -, -, -, -, -, -, 15, -, -, -, -, -, -, -, -, 16, -, -, -, -, -, -, -, -, 17, -, -, -, -, -, -, -, -, 18, -, -, -, -, -, -, -, -, 19, -, -, -, -, -, -, -, -, 0, -, -, -, -, 
1, 50, True, 20, 2, 0.77, Performance, 0.31, Both, 9, 0, 7.807653, Uneven, 2, 3, 4, True, 69, True, False, True, 0, (154.7 - 144.9 - 72.4), (0.9 - 0.4 - 0.4), False, True, False, 1.034618, 0.790694, 1.292627, 1, (36.4 - 45.2 - 137.2), (0.2 - 0.2 - 1.0), True, True, True, 1.120695, 0.790694, 1.292627, 2, (89.4 - 52.5 - 124.2), (0.7 - 0.7 - 0.6), False, True, False, 1.467213, 0.790694, 1.292627, 3, -, -, -, -, -, -, -, -, 4, -, -, -, -, -, -, -, -, 5, -, -, -, -, -, -, -, -, 6, -, -, -, -, -, -, -, -, 7, -, -, -, -, -, -, -, -, 8, -, -, -, -, -, -, -, -, 9, -, -, -, -, -, -, -, -, 0, -, -, -, -, -, -, -, -, 1, -, -, -, -, -, -, -, -, 2, 1, Left, (94.8 - 92.1 - 56.8), (0.2 - 0.4 - 0.4), 1.411875, 1.390646, 6, 1.795485, 3, 1, Right, (21.5 - 65.8 - 137.6), (0.3 - 0.3 - 0.4), 1.411875, 1.390646, 23, 1.54492, 4, 2, Left, (169.0 - 48.8 - 48.8), (0.8 - 0.4 - 0.4), 1.411875, 1.390646, 31, 1.606972, 5, 2, Right, (12.7 - 76.1 - 56.8), (0.2 - 0.5 - 0.6), 1.411875, 1.390646, 33, 1.174188, 6, -, -, -, -, -, -, -, -, 7, -, -, -, -, -, -, -, -, 8, -, -, -, -, -, -, -, -, 9, -, -, -, -, -, -, -, -, 10, -, -, -, -, -, -, -, -, 11, -, -, -, -, -, -, -, -, 12, -, -, -, -, -, -, -, -, 13, -, -, -, -, -, -, -, -, 14, -, -, -, -, -, -, -, -, 15, -, -, -, -, -, -, -, -, 16, -, -, -, -, -, -, -, -, 17, -, -, -, -, -, -, -, -, 18, -, -, -, -, -, -, -, -, 19, -, -, -, -, -, -, -, -, 0, (158.7 - 35.0 - 82.1), (0.1 - 0.6 - 0.3), 0.9231285, 1.180562, 
1, 50, True, 20, 2, 0.77, Performance, 0.31, Both, 9, 0, 19.82985, Uneven, 3, 3, 4, True, 63, False, True, True, 0, (91.3 - 177.0 - 108.6), (0.9 - 0.3 - 0.6), True, True, True, 0.8957282, 1.085932, 0.8454971, 1, (149.4 - 141.4 - 122.2), (0.8 - 0.1 - 0.5), False, False, True, 0.3397993, 1.085932, 0.8454971, 2, (171.3 - 37.5 - 51.9), (0.3 - 0.3 - 0.7), True, False, False, 0.04423142, 1.085932, 0.8454971, 3, -, -, -, -, -, -, -, -, 4, -, -, -, -, -, -, -, -, 5, -, -, -, -, -, -, -, -, 6, -, -, -, -, -, -, -, -, 7, -, -, -, -, -, -, -, -, 8, -, -, -, -, -, -, -, -, 9, -, -, -, -, -, -, -, -, 0, -, -, -, -, -, -, -, -, 1, -, -, -, -, -, -, -, -, 2, 1, Left, (61.4 - 93.3 - 24.4), (0.3 - 0.9 - 0.3), 1.399454, 1.487537, 34, 1.548543, 3, 1, Right, (85.0 - 170.7 - 144.5), (0.6 - 0.6 - 1.0), 1.399454, 1.487537, 43, 1.485964, 4, 2, Left, (156.7 - 8.8 - 75.3), (0.5 - 0.8 - 0.0), 1.399454, 1.487537, 17, 1.084479, 5, 2, Right, (178.0 - 83.4 - 84.4), (1.0 - 0.2 - 0.5), 1.399454, 1.487537, 30, 1.379671, 6, -, -, -, -, -, -, -, -, 7, -, -, -, -, -, -, -, -, 8, -, -, -, -, -, -, -, -, 9, -, -, -, -, -, -, -, -, 10, -, -, -, -, -, -, -, -, 11, -, -, -, -, -, -, -, -, 12, -, -, -, -, -, -, -, -, 13, -, -, -, -, -, -, -, -, 14, -, -, -, -, -, -, -, -, 15, -, -, -, -, -, -, -, -, 16, -, -, -, -, -, -, -, -, 17, -, -, -, -, -, -, -, -, 18, -, -, -, -, -, -, -, -, 19, -, -, -, -, -, -, -, -, 0, (98.2 - 58.1 - 159.3), (0.2 - 0.1 - 0.0), 0.2942004, 3.759789, 
1, 50, True, 20, 2, 0.77, Performance, 0.31, Both, 9, 0, 15.39254, Uneven, 4, 8, 8, True, 41, True, False, True, 0, (27.8 - 72.4 - 129.8), (0.6 - 0.3 - 0.2), False, False, True, 0.5803709, 1.14896, 1.076323, 1, (4.5 - 124.8 - 101.8), (0.6 - 0.2 - 0.4), True, True, False, 0.5814583, 1.14896, 1.076323, 2, (10.8 - 67.2 - 29.0), (0.8 - 0.5 - 0.3), False, False, False, 0.7766262, 1.14896, 1.076323, 3, (92.6 - 80.3 - 106.2), (0.4 - 0.8 - 0.9), False, False, True, 0.685118, 1.14896, 1.076323, 4, (177.5 - 142.9 - 53.3), (0.6 - 0.2 - 0.5), True, False, True, 1.281857, 1.14896, 1.076323, 5, (169.5 - 136.6 - 136.8), (0.4 - 0.5 - 0.1), True, True, True, 0.6741354, 1.14896, 1.076323, 6, (42.0 - 21.9 - 20.1), (0.4 - 0.7 - 0.1), True, False, True, 1.126469, 1.14896, 1.076323, 7, (6.6 - 40.9 - 148.0), (0.9 - 0.9 - 0.1), False, False, True, 0.3899627, 1.14896, 1.076323, 8, -, -, -, -, -, -, -, -, 9, -, -, -, -, -, -, -, -, 0, -, -, -, -, -, -, -, -, 1, -, -, -, -, -, -, -, -, 2, 1, Left, (51.8 - 112.6 - 172.2), (0.3 - 0.0 - 0.7), 1.14068, 1.374758, 19, 1.099259, 3, 1, Right, (103.3 - 122.3 - 13.9), (0.0 - 0.9 - 0.2), 1.14068, 1.374758, 34, 1.968268, 4, 2, Left, (99.0 - 97.2 - 58.6), (0.2 - 0.5 - 0.6), 1.140679, 1.374758, 23, 1.407838, 5, 2, Right, (99.0 - 97.2 - 58.6), (0.2 - 0.5 - 0.6), 1.140679, 1.374758, 23, 1.407838, 6, -, -, -, -, -, -, -, -, 7, -, -, -, -, -, -, -, -, 8, 4, Left, (130.1 - 125.5 - 53.4), (0.2 - 0.6 - 0.7), 1.14068, 1.374758, 19, 1.012969, 9, 4, Right, (25.6 - 1.8 - 20.1), (0.2 - 0.3 - 0.8), 1.14068, 1.374758, 17, 1.048631, 10, -, -, -, -, -, -, -, -, 11, -, -, -, -, -, -, -, -, 12, 6, Left, (151.8 - 127.6 - 62.5), (0.3 - 0.9 - 0.6), 1.14068, 1.374758, 38, 1.794422, 13, 6, Right, (131.4 - 93.6 - 29.4), (0.4 - 0.1 - 0.5), 1.14068, 1.374758, 16, 1.523477, 14, -, -, -, -, -, -, -, -, 15, -, -, -, -, -, -, -, -, 16, -, -, -, -, -, -, -, -, 17, -, -, -, -, -, -, -, -, 18, -, -, -, -, -, -, -, -, 19, -, -, -, -, -, -, -, -, 0, (171.0 - 40.3 - 90.5), (0.9 - 0.2 - 0.5), 1.306271, 1.628778, 
1, 50, True, 20, 2, 0.77, Performance, 0.31, Both, 9, 0, 16.91156, Uneven, 5, 7, 4, True, 50, False, True, True, 0, (38.7 - 166.4 - 27.6), (0.3 - 0.1 - 0.1), True, False, False, 1.155057, 1.065671, 0.6819763, 1, (159.7 - 123.2 - 91.4), (0.4 - 0.7 - 0.8), True, False, False, 0.2916383, 1.065671, 0.6819763, 2, (130.0 - 111.5 - 69.4), (0.6 - 0.7 - 0.6), False, True, False, 0.1646907, 1.065671, 0.6819763, 3, (67.0 - 67.3 - 7.3), (0.2 - 0.7 - 0.5), False, True, True, 0.6013218, 1.065671, 0.6819763, 4, (87.7 - 99.8 - 77.2), (0.4 - 0.3 - 0.7), False, True, True, 0.3672538, 1.065671, 0.6819763, 5, (112.0 - 109.5 - 28.1), (0.4 - 0.7 - 0.6), False, False, False, 0.4054623, 1.065671, 0.6819763, 6, (76.5 - 69.0 - 110.1), (0.6 - 0.5 - 0.0), True, True, True, 1.023196, 1.065671, 0.6819763, 7, -, -, -, -, -, -, -, -, 8, -, -, -, -, -, -, -, -, 9, -, -, -, -, -, -, -, -, 0, -, -, -, -, -, -, -, -, 1, -, -, -, -, -, -, -, -, 2, -, -, -, -, -, -, -, -, 3, -, -, -, -, -, -, -, -, 4, -, -, -, -, -, -, -, -, 5, -, -, -, -, -, -, -, -, 6, 3, Left, (28.1 - 3.8 - 148.1), (0.6 - 0.3 - 0.8), 1.165443, 0.7341951, 31, 1.388658, 7, 3, Right, (75.9 - 1.6 - 164.9), (0.5 - 0.6 - 0.7), 1.165443, 0.7341951, 3, 1.177734, 8, 4, Left, (46.9 - 138.9 - 2.1), (0.1 - 0.3 - 0.5), 1.165443, 0.7341951, 15, 1.253115, 9, 4, Right, (7.3 - 55.2 - 40.9), (0.9 - 0.4 - 0.5), 1.165443, 0.7341951, 8, 1.239736, 10, -, -, -, -, -, -, -, -, 11, -, -, -, -, -, -, -, -, 12, -, -, -, -, -, -, -, -, 13, -, -, -, -, -, -, -, -, 14, -, -, -, -, -, -, -, -, 15, -, -, -, -, -, -, -, -, 16, -, -, -, -, -, -, -, -, 17, -, -, -, -, -, -, -, -, 18, -, -, -, -, -, -, -, -, 19, -, -, -, -, -, -, -, -, 0, (58.3 - 52.1 - 61.7), (0.2 - 0.9 - 0.1), 0.5185498, 1.189586, 
1, 50, True, 20, 2, 0.77, Performance, 0.31, Both, 9, 0, 14.96653, Uneven, 6, 9, 6, True, 49, False, False, True, 0, (139.5 - 26.3 - 89.6), (0.5 - 0.5 - 0.3), True, False, False, 0.2137288, 0.9146679, 0.9891703, 1, (16.4 - 113.8 - 55.2), (1.0 - 0.8 - 0.1), True, True, False, 1.455859, 0.9146679, 0.9891703, 2, (114.4 - 169.4 - 144.4), (0.4 - 0.1 - 0.2), True, False, True, 0.9954273, 0.9146679, 0.9891703, 3, (17.9 - 158.4 - 26.9), (0.3 - 0.8 - 0.6), False, False, True, 0.09891756, 0.9146679, 0.9891703, 4, (21.1 - 83.4 - 7.9), (0.5 - 0.2 - 0.1), False, False, True, 0.8206339, 0.9146679, 0.9891703, 5, (12.9 - 91.9 - 116.7), (0.1 - 0.6 - 0.5), True, True, False, 0.6087469, 0.9146679, 0.9891703, 6, (139.8 - 141.5 - 100.9), (0.1 - 0.2 - 0.4), False, False, False, 1.405854, 0.9146679, 0.9891703, 7, (49.4 - 118.5 - 69.6), (0.2 - 0.5 - 0.6), False, False, False, 0.78749, 0.9146679, 0.9891703, 8, (157.6 - 91.2 - 138.8), (0.7 - 0.6 - 0.2), True, True, False, 0.201946, 0.9146679, 0.9891703, 9, -, -, -, -, -, -, -, -, 0, -, -, -, -, -, -, -, -, 1, -, -, -, -, -, -, -, -, 2, 1, Left, (117.3 - 178.0 - 20.8), (1.0 - 0.3 - 0.8), 1.109589, 0.5716907, 46, 1.398064, 3, 1, Right, (50.5 - 23.8 - 72.2), (0.6 - 0.3 - 0.8), 1.109589, 0.5716907, 0, 1.595562, 4, -, -, -, -, -, -, -, -, 5, -, -, -, -, -, -, -, -, 6, 3, Left, (86.7 - 80.8 - 94.2), (0.8 - 0.4 - 0.6), 1.109589, 0.5716907, 21, 1.556798, 7, 3, Right, (86.7 - 80.8 - 94.2), (0.8 - 0.4 - 0.6), 1.109589, 0.5716907, 21, 1.556798, 8, 4, Left, (42.3 - 65.5 - 125.7), (0.8 - 0.7 - 0.3), 1.109589, 0.5716907, 18, 1.735251, 9, 4, Right, (136.8 - 55.9 - 158.0), (1.0 - 0.4 - 0.4), 1.109589, 0.5716907, 22, 1.498316, 10, -, -, -, -, -, -, -, -, 11, -, -, -, -, -, -, -, -, 12, -, -, -, -, -, -, -, -, 13, -, -, -, -, -, -, -, -, 14, -, -, -, -, -, -, -, -, 15, -, -, -, -, -, -, -, -, 16, -, -, -, -, -, -, -, -, 17, -, -, -, -, -, -, -, -, 18, -, -, -, -, -, -, -, -, 19, -, -, -, -, -, -, -, -, 0, (9.4 - 89.3 - 22.2), (0.1 - 0.7 - 0.4), 0.4807464, 3.636433, 
1, 50, True, 20, 2, 0.77, Performance, 0.31, Both, 9, 0, 19.18551, Uneven, 7, 8, 10, False, 31, False, True, True, 0, (49.5 - 115.3 - 10.3), (0.2 - 0.2 - 0.1), True, True, True, 1.315666, 0.6490145, 1.499936, 1, (88.5 - 143.8 - 144.3), (0.9 - 0.4 - 0.7), True, False, True, 0.4683449, 0.6490145, 1.499936, 2, (23.4 - 162.0 - 71.0), (0.7 - 0.8 - 0.9), False, True, True, 0.7278944, 0.6490145, 1.499936, 3, (162.2 - 6.8 - 21.7), (0.4 - 0.6 - 0.0), False, True, True, 0.7697417, 0.6490145, 1.499936, 4, (148.4 - 32.8 - 161.3), (0.3 - 0.2 - 0.2), False, True, False, 1.035275, 0.6490145, 1.499936, 5, (66.0 - 88.5 - 158.7), (0.7 - 0.9 - 0.2), False, True, True, 1.060878, 0.6490145, 1.499936, 6, (29.1 - 173.8 - 139.5), (0.8 - 0.3 - 0.1), False, False, True, 0.7056117, 0.6490145, 1.499936, 7, (27.1 - 148.5 - 88.3), (0.8 - 0.7 - 0.2), True, True, True, 0.4754302, 0.6490145, 1.499936, 8, -, -, -, -, -, -, -, -, 9, -, -, -, -, -, -, -, -, 0, -, -, -, -, -, -, -, -, 1, -, -, -, -, -, -, -, -, 2, 1, Left, (93.0 - 102.3 - 103.4), (0.5 - 0.5 - 0.6), 1.694014, 1.127788, 25, 1.420762, 3, 1, Right, (93.0 - 102.3 - 103.4), (0.5 - 0.5 - 0.6), 1.694014, 1.127788, 25, 1.420762, 4, 2, Left, (167.0 - 109.4 - 46.6), (0.4 - 0.5 - 0.8), 1.694014, 1.127788, 13, 1.021512, 5, 2, Right, (99.0 - 172.7 - 145.6), (0.5 - 0.8 - 0.9), 1.694014, 1.127788, 38, 1.892665, 6, 3, Left, (78.8 - 82.8 - 84.7), (0.5 - 0.3 - 0.7), 1.694014, 1.127788, 20, 1.80393, 7, 3, Right, (87.1 - 114.0 - 79.8), (0.3 - 0.7 - 0.7), 1.694014, 1.127788, 38, 1.127753, 8, 4, Left, (24.5 - 10.3 - 100.4), (0.9 - 0.4 - 0.7), 1.694014, 1.127788, 28, 1.045141, 9, 4, Right, (154.9 - 41.9 - 70.2), (0.5 - 0.4 - 0.2), 1.694014, 1.127788, 43, 1.482567, 10, -, -, -, -, -, -, -, -, 11, -, -, -, -, -, -, -, -, 12, 6, Left, (78.6 - 158.3 - 148.4), (0.3 - 0.6 - 0.8), 1.694014, 1.127788, 3, 1.229157, 13, 6, Right, (54.4 - 129.2 - 151.4), (0.9 - 0.7 - 0.2), 1.694014, 1.127788, 21, 1.763369, 14, -, -, -, -, -, -, -, -, 15, -, -, -, -, -, -, -, -, 16, -, -, -, -, -, -, -, -, 17, -, -, -, -, -, -, -, -, 18, -, -, -, -, -, -, -, -, 19, -, -, -, -, -, -, -, -, 0, -, -, -, -, 
1, 50, True, 20, 2, 0.77, Performance, 0.31, Both, 9, 0, 10.15759, Uneven, 8, 7, 12, True, 56, True, True, True, 0, (108.1 - 158.5 - 124.5), (0.0 - 0.8 - 1.0), False, False, True, 0.898381, 1.120564, 0.8672302, 1, (76.0 - 77.3 - 86.4), (0.9 - 0.7 - 0.8), False, True, True, 1.257676, 1.120564, 0.8672302, 2, (24.4 - 106.5 - 133.9), (0.3 - 0.2 - 0.8), True, True, False, 0.4945436, 1.120564, 0.8672302, 3, (15.7 - 127.6 - 8.9), (0.9 - 0.4 - 0.2), False, True, True, 0.9509369, 1.120564, 0.8672302, 4, (93.7 - 2.4 - 152.5), (0.7 - 0.3 - 0.1), False, False, True, 0.3843481, 1.120564, 0.8672302, 5, (126.9 - 91.9 - 78.9), (0.6 - 0.1 - 0.4), False, False, True, 0.3901821, 1.120564, 0.8672302, 6, (169.9 - 36.3 - 116.5), (0.2 - 0.0 - 0.9), True, False, False, 0.862697, 1.120564, 0.8672302, 7, -, -, -, -, -, -, -, -, 8, -, -, -, -, -, -, -, -, 9, -, -, -, -, -, -, -, -, 0, -, -, -, -, -, -, -, -, 1, -, -, -, -, -, -, -, -, 2, 1, Left, (26.9 - 141.8 - 151.5), (0.4 - 0.8 - 0.1), 1.60977, 0.7874553, 9, 1.447636, 3, 1, Right, (79.3 - 128.0 - 93.0), (0.9 - 0.5 - 0.1), 1.60977, 0.7874553, 37, 1.760949, 4, 2, Left, (137.9 - 155.4 - 0.7), (0.8 - 0.7 - 0.0), 1.60977, 0.7874553, 11, 1.80057, 5, 2, Right, (143.0 - 7.9 - 111.2), (0.9 - 0.6 - 0.1), 1.60977, 0.7874553, 38, 1.737925, 6, 3, Left, (106.8 - 81.0 - 102.5), (0.6 - 0.4 - 0.2), 1.60977, 0.7874553, 26, 1.655761, 7, 3, Right, (106.8 - 81.0 - 102.5), (0.6 - 0.4 - 0.2), 1.60977, 0.7874553, 26, 1.655761, 8, 4, Left, (88.7 - 41.6 - 163.2), (0.5 - 0.2 - 0.5), 1.60977, 0.7874553, 14, 1.149434, 9, 4, Right, (131.2 - 10.1 - 149.6), (0.1 - 0.2 - 0.0), 1.60977, 0.7874553, 37, 1.919884, 10, 5, Left, (112.7 - 26.4 - 77.6), (0.4 - 0.2 - 0.3), 1.60977, 0.7874553, 25, 1.661113, 11, 5, Right, (134.9 - 136.7 - 73.3), (0.8 - 0.5 - 0.8), 1.60977, 0.7874553, 42, 1.768573, 12, 6, Left, (106.8 - 81.0 - 102.5), (0.6 - 0.4 - 0.2), 1.60977, 0.7874554, 26, 1.655761, 13, 6, Right, (106.8 - 81.0 - 102.5), (0.6 - 0.4 - 0.2), 1.60977, 0.7874554, 26, 1.655761, 14, -, -, -, -, -, -, -, -, 15, -, -, -, -, -, -, -, -, 16, -, -, -, -, -, -, -, -, 17, -, -, -, -, -, -, -, -, 18, -, -, -, -, -, -, -, -, 19, -, -, -, -, -, -, -, -, 0, (67.4 - 163.8 - 97.4), (0.5 - 0.3 - 0.7), 0.4047679, 1.43578, 
1, 50, True, 20, 2, 0.77, Performance, 0.31, Both, 9, 0, 0, Uneven, 9, 2, 2, False, 66, True, True, True, 0, (60.4 - 100.3 - 8.6), (0.8 - 0.0 - 0.9), False, False, False, 0.7839044, 0.9990225, 1.024312, 1, (32.5 - 166.1 - 3.9), (0.8 - 0.3 - 0.8), True, True, False, 0.4167045, 0.9990225, 1.024312, 2, -, -, -, -, -, -, -, -, 3, -, -, -, -, -, -, -, -, 4, -, -, -, -, -, -, -, -, 5, -, -, -, -, -, -, -, -, 6, -, -, -, -, -, -, -, -, 7, -, -, -, -, -, -, -, -, 8, -, -, -, -, -, -, -, -, 9, -, -, -, -, -, -, -, -, 0, -, -, -, -, -, -, -, -, 1, -, -, -, -, -, -, -, -, 2, 1, Left, (170.2 - 88.5 - 76.2), (0.0 - 0.7 - 0.3), 1.896417, 0.8842108, 32, 1.288998, 3, 1, Right, (58.1 - 92.6 - 38.1), (0.3 - 0.6 - 0.8), 1.896417, 0.8842108, 42, 1.179875, 4, -, -, -, -, -, -, -, -, 5, -, -, -, -, -, -, -, -, 6, -, -, -, -, -, -, -, -, 7, -, -, -, -, -, -, -, -, 8, -, -, -, -, -, -, -, -, 9, -, -, -, -, -, -, -, -, 10, -, -, -, -, -, -, -, -, 11, -, -, -, -, -, -, -, -, 12, -, -, -, -, -, -, -, -, 13, -, -, -, -, -, -, -, -, 14, -, -, -, -, -, -, -, -, 15, -, -, -, -, -, -, -, -, 16, -, -, -, -, -, -, -, -, 17, -, -, -, -, -, -, -, -, 18, -, -, -, -, -, -, -, -, 19, -, -, -, -, -, -, -, -, 0, -, -, -, -, 
1, 50, True, 20, 2, 0.77, Performance, 0.31, Both, 9, 0, 12.58844, Uneven, 10, 1, 0, True, 40, False, True, True, 0, (71.7 - 112.3 - 92.3), (0.0 - 0.4 - 0.1), True, True, True, 1.217202, 0.8154029, 1.460837, 1, -, -, -, -, -, -, -, -, 2, -, -, -, -, -, -, -, -, 3, -, -, -, -, -, -, -, -, 4, -, -, -, -, -, -, -, -, 5, -, -, -, -, -, -, -, -, 6, -, -, -, -, -, -, -, -, 7, -, -, -, -, -, -, -, -, 8, -, -, -, -, -, -, -, -, 9, -, -, -, -, -, -, -, -, 0, -, -, -, -, -, -, -, -, 1, -, -, -, -, -, -, -, -, 2, -, -, -, -, -, -, -, -, 3, -, -, -, -, -, -, -, -, 4, -, -, -, -, -, -, -, -, 5, -, -, -, -, -, -, -, -, 6, -, -, -, -, -, -, -, -, 7, -, -, -, -, -, -, -, -, 8, -, -, -, -, -, -, -, -, 9, -, -, -, -, -, -, -, -, 10, -, -, -, -, -, -, -, -, 11, -, -, -, -, -, -, -, -, 12, -, -, -, -, -, -, -, -, 13, -, -, -, -, -, -, -, -, 14, -, -, -, -, -, -, -, -, 15, -, -, -, -, -, -, -, -, 16, -, -, -, -, -, -, -, -, 17, -, -, -, -, -, -, -, -, 18, -, -, -, -, -, -, -, -, 19, -, -, -, -, -, -, -, -, 0, (19.3 - 117.0 - 84.2), (0.9 - 0.3 - 0.5), 1.395131, 3.270801, 
